id,place_name,description,category,city,province,price,rating,coordinate,lat,long,metadata,dir
1,Monumen Nasional,"Monumen Nasional atau yang populer disingkat dengan Monas atau Tugu Monas adalah monumen peringatan setinggi 132 meter (433 kaki) yang didirikan untuk mengenang perlawanan dan perjuangan rakyat Indonesia untuk merebut kemerdekaan dari pemerintahan kolonial Hindia Belanda. Pembangunan monumen ini dimulai pada tanggal 17 Agustus 1961 di bawah perintah presiden Soekarno dan dibuka untuk umum pada tanggal 12 Juli 1975. Tugu ini dimahkotai lidah api yang dilapisi lembaran emas yang melambangkan semangat perjuangan yang menyala-nyala. Monumen Nasional terletak tepat di tengah Lapangan Medan Merdeka, Jakarta Pusat.",Sejarah dan Budaya,Jakarta Pusat,Jakarta,20000,4.6,"{'lat': -6.1753924, 'lng': 106.8271528}",-6.1753924,106.8271528,"monumen nasional sejarah dan budaya monumen nasional atau yang populer disingkat dengan monas atau tugu monas adalah monumen peringatan setinggi 132 meter (433 kaki) yang didirikan untuk mengenang perlawanan dan perjuangan rakyat indonesia untuk merebut kemerdekaan dari pemerintahan kolonial hindia belanda. pembangunan monumen ini dimulai pada tanggal 17 agustus 1961 di bawah perintah presiden soekarno dan dibuka untuk umum pada tanggal 12 juli 1975. tugu ini dimahkotai lidah api yang dilapisi lembaran emas yang melambangkan semangat perjuangan yang menyala-nyala. monumen nasional terletak tepat di tengah lapangan medan merdeka, jakarta pusat. jakarta pusat",images/jakarta/image_1
2,Kota Tua,"Kota tua di Jakarta, yang juga bernama Kota Tua, berpusat di Alun-Alun Fatahillah, yaitu alun-alun yang ramai dengan pertunjukan rutin tarian tradisional. Museum Sejarah Jakarta adalah bangunan era Belanda dengan lukisan dan barang antik, sedangkan Museum Wayang memamerkan boneka kayu khas Jawa. Desa Glodok, atau Chinatown, terkenal dengan makanan kaki lima, seperti pangsit dan mi goreng. Di dekatnya, terdapat sekunar dan kapal penangkap ikan di pelabuhan Sunda Kelapa yang kuno",Sejarah dan Budaya,Jakarta Barat,Jakarta,0,4.6,"{'lat': -6.137644799999999, 'lng': 106.8171245}",-6.1376448,106.8171245,"kota tua sejarah dan budaya kota tua di jakarta, yang juga bernama kota tua, berpusat di alun-alun fatahillah, yaitu alun-alun yang ramai dengan pertunjukan rutin tarian tradisional. museum sejarah jakarta adalah bangunan era belanda dengan lukisan dan barang antik, sedangkan museum wayang memamerkan boneka kayu khas jawa. desa glodok, atau chinatown, terkenal dengan makanan kaki lima, seperti pangsit dan mi goreng. di dekatnya, terdapat sekunar dan kapal penangkap ikan di pelabuhan sunda kelapa yang kuno jakarta barat",images/jakarta/image_2
3,Dunia Fantasi,"Dunia Fantasi atau disebut juga Dufan adalah tempat hiburan yang terletak di kawasan Taman Impian Jaya Ancol, Jakarta Utara, Indonesia. Dufan diresmikan dan dibuka pada tanggal 29 Agustus 1985.",Tempat Rekreasi,Jakarta Utara,Jakarta,270000,4.6,"{'lat': -6.125312399999999, 'lng': 106.8335377}",-6.1253124,106.8335377,"dunia fantasi tempat rekreasi dunia fantasi atau disebut juga dufan adalah tempat hiburan yang terletak di kawasan taman impian jaya ancol, jakarta utara, indonesia. dufan diresmikan dan dibuka pada tanggal 29 agustus 1985. jakarta utara",images/jakarta/image_3
4,Taman Mini Indonesia Indah (TMII),"Taman Mini Indonesia Indah merupakan suatu kawasan taman wisata bertema budaya Indonesia di Jakarta Timur. Area seluas kurang lebih 150 hektare atau 1,5 kilometer persegi ini terletak pada koordinat 6°18′6.8″LS,106°53′47.2″BT",Tempat Rekreasi,Jakarta Utara,Jakarta,10000,4.5,"{'lat': -6.302445899999999, 'lng': 106.8951559}",-6.3024459,106.8951559,"taman mini indonesia indah (tmii) tempat rekreasi taman mini indonesia indah merupakan suatu kawasan taman wisata bertema budaya indonesia di jakarta timur. area seluas kurang lebih 150 hektare atau 1,5 kilometer persegi ini terletak pada koordinat 6°18′6.8″ls,106°53′47.2″bt jakarta utara",images/jakarta/image_4
5,Atlantis Water Adventure,"Atlantis Water Adventure atau dikenal dengan Atlantis Ancol akan menyuguhkan petualangan wisata air tak terlupakan. Tempat Wisata bertemakan permainan air dengan luas 5 hektar ini memberi sensasi petualangan di 8 kolam utama. Yaitu kolam Antila, Plaza Atlas, Poseidon, Aquarius, Octopus, Kiddy Pool, dan Atlantean. Berlokasi di kawasan Ancol Jakarta Baycity, Atlantis bisa menjadi pilihan destinasi yang pas untuk wisata berenang.",Tempat Rekreasi,Jakarta Utara,Jakarta,94000,4.5,"{'lat': -6.12419, 'lng': 106.839134}",-6.12419,106.839134,"atlantis water adventure tempat rekreasi atlantis water adventure atau dikenal dengan atlantis ancol akan menyuguhkan petualangan wisata air tak terlupakan. tempat wisata bertemakan permainan air dengan luas 5 hektar ini memberi sensasi petualangan di 8 kolam utama. yaitu kolam antila, plaza atlas, poseidon, aquarius, octopus, kiddy pool, dan atlantean. berlokasi di kawasan ancol jakarta baycity, atlantis bisa menjadi pilihan destinasi yang pas untuk wisata berenang. jakarta utara",images/jakarta/image_5
6,Taman Impian Jaya Ancol,Taman Impian Jaya Ancol merupakan sebuah objek wisata di Jakarta Utara.\n\n,Tempat Rekreasi,Jakarta Utara,Jakarta,25000,4.5,"{'lat': -6.117333200000001, 'lng': 106.8579951}",-6.1173332,106.8579951,taman impian jaya ancol tempat rekreasi taman impian jaya ancol merupakan sebuah objek wisata di jakarta utara.\n\n jakarta utara,images/jakarta/image_6
7,Kebun Binatang Ragunan,"Kebun Binatang Ragunan adalah sebuah kebun binatang yang terletak di daerah Ragunan, Pasar Minggu, Jakarta Selatan, Indonesia. Kebun binatang seluas 140 hektare ini didirikan pada tahun 1864. Di dalamnya terdapat berbagai koleksi yang terdiri dari 295 spesies dan 4040 spesimen.\nRagunan sempat ditutup selama sekitar tiga minggu sejak 19 September 2005 karena hewan-hewan di dalamnya ada yang terinfeksi flu burung, tetapi dibuka kembali pada 11 Oktober 2005.Kebun binatang ini memiliki banyak spesies hewan yang langka antara lain kakatua, orangutan, gorila, anoa dan gajah",Tempat Rekreasi,Jakarta Selatan,Jakarta,4000,4.5,"{'lat': -6.3124593, 'lng': 106.8201865}",-6.3124593,106.8201865,"kebun binatang ragunan tempat rekreasi kebun binatang ragunan adalah sebuah kebun binatang yang terletak di daerah ragunan, pasar minggu, jakarta selatan, indonesia. kebun binatang seluas 140 hektare ini didirikan pada tahun 1864. di dalamnya terdapat berbagai koleksi yang terdiri dari 295 spesies dan 4040 spesimen.\nragunan sempat ditutup selama sekitar tiga minggu sejak 19 september 2005 karena hewan-hewan di dalamnya ada yang terinfeksi flu burung, tetapi dibuka kembali pada 11 oktober 2005.kebun binatang ini memiliki banyak spesies hewan yang langka antara lain kakatua, orangutan, gorila, anoa dan gajah jakarta selatan",images/jakarta/image_7
8,Ocean Ecopark,"Ocean Ecopark Salah satu zona rekreasi Ancol yang menawarkan ruang terbuka hijau serta pengalaman dan tidak melupakan sisi pendidikan bagi para pengunjung. Beragam aktivitas dan wahana seru yang bisa dimainkan di tempat rekreasi keluarga, beberapa diantaranya : Outbondholic, Rumah Energy, Rumah Lebah, Kano, Paintball, Outbondholic, Eco-Market, Learning Farm, Eco-Bike, Faunaland. Kalau berencana berwisata ke Ocean Eco Park ancol tidak perlu khawatir dengan harga tiket masuknya. Karena harga tiket masuk Ocean Eco Park ditawarkan dengan harga yang masih terjangkau.",Tempat Rekreasi,Jakarta Utara,Jakarta,180000,4,"{'lat': -6.125801699999999, 'lng': 106.8363249}",-6.1258017,106.8363249,"ocean ecopark tempat rekreasi ocean ecopark salah satu zona rekreasi ancol yang menawarkan ruang terbuka hijau serta pengalaman dan tidak melupakan sisi pendidikan bagi para pengunjung. beragam aktivitas dan wahana seru yang bisa dimainkan di tempat rekreasi keluarga, beberapa diantaranya : outbondholic, rumah energy, rumah lebah, kano, paintball, outbondholic, eco-market, learning farm, eco-bike, faunaland. kalau berencana berwisata ke ocean eco park ancol tidak perlu khawatir dengan harga tiket masuknya. karena harga tiket masuk ocean eco park ditawarkan dengan harga yang masih terjangkau. jakarta utara",images/jakarta/image_8
9,Pelabuhan Marina,"Pelabuhan Marina Ancol berada di kawasan Taman Impian Jaya Ancol, Jakarta. Pelabuhan yang biasa disebut Dermaga Marina Ancol ini adalah kawasan yang tidak hanya untuk keperluan penyeberangan saja, tetapi juga dikembangkan untuk banyak hal, seperti wisata air, olahraga air maupun wahana bermain. Fungsi utama dari pelabuhan ini adalah untuk melayani para penumpang yang ingin menyeberang menuju ke kepulauan Seribu, begitu juga sebaliknya. Banyak orang yang berada di Jakarta dan sekitarnya, menjadikan kepulaun Seribu sebagai tujuan wisata yang utama. Liburan di Pulau Seribu memang mampu menghilangkan kepenatan bekerja di kota metropolitan, sembari menikmati keindahan pantai yang masih terjaga dengan baik. Marina Ancol berada di Jakarta Utara atau secara lengkap beralamat di Kota Tua, Ancol, Pademangan, Kota Jakarta. Sangat mudah menuju ke tempat ini karena tidak terlalu jauh dari pusat kota. Selain itu, ada banyak transportasi umum yang menuju ke tempat ini atau bisa juga menggunakan jasa transportasi online.",Tempat Rekreasi,Jakarta Utara,Jakarta,175000,4.4,"{'lat': 1.07888, 'lng': 103.931398}",1.07888,103.931398,"pelabuhan marina tempat rekreasi pelabuhan marina ancol berada di kawasan taman impian jaya ancol, jakarta. pelabuhan yang biasa disebut dermaga marina ancol ini adalah kawasan yang tidak hanya untuk keperluan penyeberangan saja, tetapi juga dikembangkan untuk banyak hal, seperti wisata air, olahraga air maupun wahana bermain. fungsi utama dari pelabuhan ini adalah untuk melayani para penumpang yang ingin menyeberang menuju ke kepulauan seribu, begitu juga sebaliknya. banyak orang yang berada di jakarta dan sekitarnya, menjadikan kepulaun seribu sebagai tujuan wisata yang utama. liburan di pulau seribu memang mampu menghilangkan kepenatan bekerja di kota metropolitan, sembari menikmati keindahan pantai yang masih terjaga dengan baik. marina ancol berada di jakarta utara atau secara lengkap beralamat di kota tua, ancol, pademangan, kota jakarta. sangat mudah menuju ke tempat ini karena tidak terlalu jauh dari pusat kota. selain itu, ada banyak transportasi umum yang menuju ke tempat ini atau bisa juga menggunakan jasa transportasi online. jakarta utara",images/jakarta/image_9
10,Pulau Tidung,"Pulau Tidung adalah salah satu kelurahan di kecamatan Kepulauan Seribu Selatan, Kabupaten Kepulauan Seribu, Jakarta, Indonesia.",Alam,Kepulauan Seribu,Jakarta,150000,4.5,"{'lat': -5.803205300000001, 'lng': 106.5237907}",-5.8032053,106.5237907,"pulau tidung alam pulau tidung adalah salah satu kelurahan di kecamatan kepulauan seribu selatan, kabupaten kepulauan seribu, jakarta, indonesia. kepulauan seribu",images/jakarta/image_10
