id,place_name,description,category,city,province,price,rating,coordinate,lat,long,metadata,dir
1,Pantai Ora,"Pantai Ora adalah salah satu pantai di Maluku yang namanya sudah dikenal hingga mancanegara. Keindahan alam di Pantai ini sudah banyak dikenal bahkan disamakan dengan pantai-pantai di Hawai maupun Maladewa. Namun, yang perlu diketahui adalah bahwa akses menuju pantai Ora hanya dapat dicapai dengan menggunakan perahu saja. Itu sebabnya mengapa pengalaman menuju tempat ini sangat mahal harganya. Di wilayah pantai ini hanya ada satu resort yang terkenal, namun bila kita ingin menginap di tempat lain, ada beberapa alternatif seperti di Desa Sawai maupun Saleman yang terletak tidak jauh dari pantai Ora. Pantai Ora memiliki pasir putih yang sangat lembut dan indah untuk dipandang. Selain itu, pantainya langsung menjorok ke lautan dangkal yang berisi ratusan ribu terumbu karang cantik beserta para penghuninya. Baik terumbu maupun ikan-ikan di dalamnya sudah dapat terlihat dari atas permukaan tanpa kita harus menyelam atau snorkeling. Namun demikian, akan lebih maksimal ketika kita menikmati keindahan ini dengan snorkeling. Karang berwarna-warni dan ikan-ikan cantik siap menyapa kita dan membuat kita terkagum akan anugerah alam indah yang diberikan Tuhan bagi manusia, khususnya warga Indonesia.",Alam,Maluku Tengah,Maluku,0,4.7,"{'lat': -2.959465871114606, 'lng': 129.13969949550042}",-2.95946587111460,129.139699495500,"pantai ora alam pantai ora adalah salah satu pantai di maluku yang namanya sudah dikenal hingga mancanegara. keindahan alam di pantai ini sudah banyak dikenal bahkan disamakan dengan pantai-pantai di hawai maupun maladewa. namun, yang perlu diketahui adalah bahwa akses menuju pantai ora hanya dapat dicapai dengan menggunakan perahu saja. itu sebabnya mengapa pengalaman menuju tempat ini sangat mahal harganya. di wilayah pantai ini hanya ada satu resort yang terkenal, namun bila kita ingin menginap di tempat lain, ada beberapa alternatif seperti di desa sawai maupun saleman yang terletak tidak jauh dari pantai ora. pantai ora memiliki pasir putih yang sangat lembut dan indah untuk dipandang. selain itu, pantainya langsung menjorok ke lautan dangkal yang berisi ratusan ribu terumbu karang cantik beserta para penghuninya. baik terumbu maupun ikan-ikan di dalamnya sudah dapat terlihat dari atas permukaan tanpa kita harus menyelam atau snorkeling. namun demikian, akan lebih maksimal ketika kita menikmati keindahan ini dengan snorkeling. karang berwarna-warni dan ikan-ikan cantik siap menyapa kita dan membuat kita terkagum akan anugerah alam indah yang diberikan tuhan bagi manusia, khususnya warga indonesia. maluku tengah",images/maluku/image_1
2,Taman Wisata Mangrove Sofifi,"Hutan mangrove Guraping di Kota Sofifi, merupakan destinasi wisata penting di Maluku Utara dengan keanekaragaman hayati yang tinggi dengan laguna di depannya. Hutan mangrove ini menjadi biota 16 jenis yang terdiri dari 10 genus mangrove sejati dan 6 jenis tumbuhan yang berasosiasi dengan ekosistem mangrove, yang didominasi Rizopora apiculata dan Rizopora mucronata. Hutan Mangrove ini juga menjadi tempat persinggahan jenis burung migran dari belahan bumi utara juga burung endemik Maluku Utara",Tempat Rekreasi,Maluku Tengah,Maluku,5000,4.1,"{'lat': 0.7588163642990577, 'lng': 127.60540787505283}",0.758816364299057,127.605407875052,"taman wisata mangrove sofifi tempat rekreasi hutan mangrove guraping di kota sofifi, merupakan destinasi wisata penting di maluku utara dengan keanekaragaman hayati yang tinggi dengan laguna di depannya. hutan mangrove ini menjadi biota 16 jenis yang terdiri dari 10 genus mangrove sejati dan 6 jenis tumbuhan yang berasosiasi dengan ekosistem mangrove, yang didominasi rizopora apiculata dan rizopora mucronata. hutan mangrove ini juga menjadi tempat persinggahan jenis burung migran dari belahan bumi utara juga burung endemik maluku utara maluku tengah",images/maluku/image_2
3,Pantai Tanjung Kuako,"Pantai ini memiliki keunikan berupa bebatuan karang dan kerikil yang lembut dan tidak tajam yang terdapat di pesisir pantai. Bebatuan itu juga memiliki warna yang beragam, mulai dari hitam, putih, biru, hijau, hingga merah. Pantai ini biasanya dikunjungi oleh wisatawan atau warga setempat ketika siang menjelang sore dan juga hari libur.",Alam,Maluku Tengah,Maluku,5000,4.3,"{'lat': -3.3318064077491463, 'lng': 128.9123987260152}",-3.33180640774914,128.912398726015,"pantai tanjung kuako alam pantai ini memiliki keunikan berupa bebatuan karang dan kerikil yang lembut dan tidak tajam yang terdapat di pesisir pantai. bebatuan itu juga memiliki warna yang beragam, mulai dari hitam, putih, biru, hijau, hingga merah. pantai ini biasanya dikunjungi oleh wisatawan atau warga setempat ketika siang menjelang sore dan juga hari libur. maluku tengah",images/maluku/image_3
4,Taman Nasional Manusela,"Taman Nasional Manusela merupakan perwakilan tipe ekosistem pantai, hutan rawa, hutan hujan dataran rendah dan hutan hujan pegunungan di Maluku. Tipe vegetasi yang terdapat di taman nasional ini yaitu mangrove, pantai, hutan rawa, tebing sungai, hutan hujan tropika pamah, hutan pegunungan, dan hutan sub-alpin.",Alam,Maluku Tengah,Maluku,5000,4.3,"{'lat': -3.0748812889641557, 'lng': 129.62005212601315}",-3.07488128896415,129.620052126013,"taman nasional manusela alam taman nasional manusela merupakan perwakilan tipe ekosistem pantai, hutan rawa, hutan hujan dataran rendah dan hutan hujan pegunungan di maluku. tipe vegetasi yang terdapat di taman nasional ini yaitu mangrove, pantai, hutan rawa, tebing sungai, hutan hujan tropika pamah, hutan pegunungan, dan hutan sub-alpin. maluku tengah",images/maluku/image_4
5,Air Terjun Lumoli,"Air Terjun di Desa Lumoli menjadi salah satu wisata air terjun populer di Maluku, karena disini suasana alamnya sangat alami karena lokasinya berada di pedalaman hutan yang masih asri. Air terjun ini memiliki daya tarik seperti suasana hutan yang masih asri, batuan besar berundak, dan air terjun mulai dari level 1-3.",Alam,Maluku Tengah,Maluku,0,4.4,"{'lat': -3.1255757363558043, 'lng': 128.29839146723734}",-3.1255757363558,128.298391467237,"air terjun lumoli alam air terjun di desa lumoli menjadi salah satu wisata air terjun populer di maluku, karena disini suasana alamnya sangat alami karena lokasinya berada di pedalaman hutan yang masih asri. air terjun ini memiliki daya tarik seperti suasana hutan yang masih asri, batuan besar berundak, dan air terjun mulai dari level 1-3. maluku tengah",images/maluku/image_5
6,Gunung Binaiya,"Gunung Binaiya atau Binaia adalah sebuah gunung yang terletak di Pulau Seram, Maluku, Indonesia. Gunung Binaiya merupakan gunung tertinggi di Provinsi Maluku dengan ketinggian 3.027 meter di atas permukaan laut (mdpl) dan masuk ke dalam wilayah Kabupaten Maluku Tengah. Lokasi gunung ini membentang di Pulau Seram dan masuk ke dalam lingkup Taman Nasional Manusela yang mempunyai luas 189.000 hektar, atau sekitar 20 persen wilayah Pulau Seram. Gunung Binaiya masuk dalam 7 Puncak tertinggi di Indonesia bersama dengan Gunung Kerinci, Rinjani, Semeru, Latimojong, Jayawijaya dan Bukit Raya.",Pegunungan,Maluku Tengah,Maluku,25000,4.1,"{'lat': -3.1727761545275324, 'lng': 129.45800390071383}",-3.17277615452753,129.458003900713,"gunung binaiya pegunungan gunung binaiya atau binaia adalah sebuah gunung yang terletak di pulau seram, maluku, indonesia. gunung binaiya merupakan gunung tertinggi di provinsi maluku dengan ketinggian 3.027 meter di atas permukaan laut (mdpl) dan masuk ke dalam wilayah kabupaten maluku tengah. lokasi gunung ini membentang di pulau seram dan masuk ke dalam lingkup taman nasional manusela yang mempunyai luas 189.000 hektar, atau sekitar 20 persen wilayah pulau seram. gunung binaiya masuk dalam 7 puncak tertinggi di indonesia bersama dengan gunung kerinci, rinjani, semeru, latimojong, jayawijaya dan bukit raya. maluku tengah",images/maluku/image_6
7,Pantai Hunimua / Liang,"Pantai Liang atau yang mempunyai nama lain Pantai Hunimua[1] memiliki hamparan pasir putih dipadukan dengan air yang cukup jernih berwarna kebiruan, yang membuatnya menjadi salah satu objek wisata di Maluku Tengah. Di sana, pengunjung dapat melakukan berbagai kegiatan atau rangkaian aktivitas karena ombak Pantai Liang cukup tenang. Terdapat pula dermaga kayu sederhana yang menjorok ke pantai sepanjang 200 meter di lokasi ini. Fasilitas yang tersedia untuk pengunjung antara lain ruang bilas, ruang berganti baju, hingga warung-warung kecil yang tersusun rapi yang menjajakan makanan ringan dan pakaian.",Alam,Maluku Tengah,Maluku,15000,4.5,"{'lat': -3.504283767054144, 'lng': 128.3455718087082}",-3.50428376705414,128.345571808708,"pantai hunimua / liang alam pantai liang atau yang mempunyai nama lain pantai hunimua[1] memiliki hamparan pasir putih dipadukan dengan air yang cukup jernih berwarna kebiruan, yang membuatnya menjadi salah satu objek wisata di maluku tengah. di sana, pengunjung dapat melakukan berbagai kegiatan atau rangkaian aktivitas karena ombak pantai liang cukup tenang. terdapat pula dermaga kayu sederhana yang menjorok ke pantai sepanjang 200 meter di lokasi ini. fasilitas yang tersedia untuk pengunjung antara lain ruang bilas, ruang berganti baju, hingga warung-warung kecil yang tersusun rapi yang menjajakan makanan ringan dan pakaian. maluku tengah",images/maluku/image_7
8,Mata Air Ninivala,"Mata air Ninivala yang di kenal dengan Air Jodoh dalam sejarah mitosnya kali ini dipercaya masyarakat setempat sebagai kali pembawah jodoh siapapun yang mandi disitu dengan niat suci maka dia akan mendapatkan jodoh,oleh karena itu Mata air ini disebut kali jodoh. Mempunyai ciri khas dan identitas kemewahan sangat dingin dan mendidih karena dinginnya,dengan berwarna biru cerah Ninivala sangat menarik pandangan mata untuk mencoba,Mata air Ninivala ini adalah mata air yang mendidih dari bawah Dan menjadi  Mata Air  Ninivala,ini adalah ujung dari bagian kali-kali lain atau biasa disebut mata air,Mendidih dan kebiruan hingga dinginnya menghantarkan semangat ingin bersama selalu, surga kecil  yang dihiasi  dua pohon ditengah yang tumbuh subur hiasi  kulit air ini.",Alam,Maluku Tengah,Maluku,3000,4.7,"{'lat': -3.266589771264001, 'lng': 129.55866661011984}",-3.26658977126400,129.558666610119,"mata air ninivala alam mata air ninivala yang di kenal dengan air jodoh dalam sejarah mitosnya kali ini dipercaya masyarakat setempat sebagai kali pembawah jodoh siapapun yang mandi disitu dengan niat suci maka dia akan mendapatkan jodoh,oleh karena itu mata air ini disebut kali jodoh. mempunyai ciri khas dan identitas kemewahan sangat dingin dan mendidih karena dinginnya,dengan berwarna biru cerah ninivala sangat menarik pandangan mata untuk mencoba,mata air ninivala ini adalah mata air yang mendidih dari bawah dan menjadi  mata air  ninivala,ini adalah ujung dari bagian kali-kali lain atau biasa disebut mata air,mendidih dan kebiruan hingga dinginnya menghantarkan semangat ingin bersama selalu, surga kecil  yang dihiasi  dua pohon ditengah yang tumbuh subur hiasi  kulit air ini. maluku tengah",images/maluku/image_8
9,Tebing Makariki,Danau Tebing Makariki dapat dikatakan sebagai salah satu destinasi wisata yang cukup populer bagi para pecinta alam. Pesona yang ditawarkan oleh destinasi ini sangat mampu memukau siapapun yang datang berkunjung. Keindahan dari tebing yang menjulang tinggi juga menambah nuansa keindahan yang ada dengan melihat dinginnya sungai dibawahnya.,Alam,Maluku Tengah,Maluku,25000,4.9,"{'lat': -3.2966853418316613, 'lng': 129.55070248368625}",-3.29668534183166,129.550702483686,tebing makariki alam danau tebing makariki dapat dikatakan sebagai salah satu destinasi wisata yang cukup populer bagi para pecinta alam. pesona yang ditawarkan oleh destinasi ini sangat mampu memukau siapapun yang datang berkunjung. keindahan dari tebing yang menjulang tinggi juga menambah nuansa keindahan yang ada dengan melihat dinginnya sungai dibawahnya. maluku tengah,images/maluku/image_9
10,Air Asinahu,"Air Asinahu adalah sungai jernih berwarna hijau kebiruan yang mengalir tenang di tepi rumah warga. Tepi sungai tersebut bahkan sudah dipasang keramik sehingga terlihat seperti kolam pemandian di tengah desa. Meskipun tepi sungai sudah dilapisi dengan keramik, bagian dasar sungai tetap dibiarkan alami sehingga Anda dapat melihat bebatuan di dasar sungai. ",Alam,Maluku Tengah,Maluku,0,4.8,"{'lat': -2.9593793081551207, 'lng': 129.18213914080167}",-2.95937930815512,129.182139140801,"air asinahu alam air asinahu adalah sungai jernih berwarna hijau kebiruan yang mengalir tenang di tepi rumah warga. tepi sungai tersebut bahkan sudah dipasang keramik sehingga terlihat seperti kolam pemandian di tengah desa. meskipun tepi sungai sudah dilapisi dengan keramik, bagian dasar sungai tetap dibiarkan alami sehingga anda dapat melihat bebatuan di dasar sungai.  maluku tengah",images/maluku/image_10
