id,place_name,description,category,city,province,price,rating,coordinate,lat,long,metadata,dir
1,Amanah Borneo Park,"Amanah Borneo Park adalah destinasi wisata terbesar di Kalimantan. berkonsep wahana edukasi dan rekreasi, agrowisata, camping ground, paket wisata, didukung fasilitas umum terlengkap, yang akan terus diperbarui, harga tiket masuk yang ekonomis, sehingga Amanah Borneo Park, siap memanjakan momen liburan Anda Arena bermain yang ada di Amanah Borneo park antara lain, Kidzone, panahan, petik buah, 3D trick art, rumah terbalik, ATV dewasa, splash park, flying fox, sepeda udara, jembatan goyang, kereta wisata, hobbits house & witch house, taman kelinci, feeding fish, pemancingan, sepeda air, refleksi ikan, total ada 16 wahana Paket wisata yang ada di Amanah Borneo Park. antara lain paket wedding, prewedding, meeting, paket perpisahan, paket edukasi, yang akan memberikan pengelaman langung kepada siswa, serta camping ground, baik di area tengah kebun buah tropis, tengah hutan madu kelulut, atau di tengah pulau, dikelilingi danau bersih Abp",Tempat Rekreasi,Banjarbaru,Kalimantan Selatan,85000,4.1,"{'lat': -3.4957114,'lng': 114.808764}",-3.4957114,114.8087640,"amanah borneo park tempat rekreasi amanah borneo park adalah destinasi wisata terbesar di kalimantan. berkonsep wahana edukasi dan rekreasi, agrowisata, camping ground, paket wisata, didukung fasilitas umum terlengkap, yang akan terus diperbarui, harga tiket masuk yang ekonomis, sehingga amanah borneo park, siap memanjakan momen liburan anda arena bermain yang ada di amanah borneo park antara lain, kidzone, panahan, petik buah, 3d trick art, rumah terbalik, atv dewasa, splash park, flying fox, sepeda udara, jembatan goyang, kereta wisata, hobbits house & witch house, taman kelinci, feeding fish, pemancingan, sepeda air, refleksi ikan, total ada 16 wahana paket wisata yang ada di amanah borneo park. antara lain paket wedding, prewedding, meeting, paket perpisahan, paket edukasi, yang akan memberikan pengelaman langung kepada siswa, serta camping ground, baik di area tengah kebun buah tropis, tengah hutan madu kelulut, atau di tengah pulau, dikelilingi danau bersih abp banjarbaru",images/banjarbaru/image_1
2,Hutan Pinus Mentaos,"Hutan Pinus Mentaos berlokasi di di Jl. Pangeran Suriansyah Ujung Kelurahan Mentaos Kota Banjarbaru, Kalimantan Selatan. Hutan Pinus Mentaos juga dikelola dengan sangat baik, sehingga keindahannya masih tetap terjaga. Pihak pengelola wisata alam tersebut baru baru ini menambahkan beberapa spot menarik yang bisa digunakan untuk mempercantik tampilan fotografi para pengunjung. Di beberapa spot hutan juga terdapat hiasan payung kecil sederhana berwarna warni yang semakin menambah keunikan dari wisata alam yang satu ini. Selain itu, adanya fasilitas tambahan memiliki tujuan untuk meyakinkan wisatawan bahwa Hutan Pinus Mentaos layak dikunjungi.",Alam,Banjarbaru,Kalimantan Selatan,20000,4.3,"{'lat': -3.4344681,'lng': 114.833598}",-3.4344681,114.8335980,"hutan pinus mentaos alam hutan pinus mentaos berlokasi di di jl. pangeran suriansyah ujung kelurahan mentaos kota banjarbaru, kalimantan selatan. hutan pinus mentaos juga dikelola dengan sangat baik, sehingga keindahannya masih tetap terjaga. pihak pengelola wisata alam tersebut baru baru ini menambahkan beberapa spot menarik yang bisa digunakan untuk mempercantik tampilan fotografi para pengunjung. di beberapa spot hutan juga terdapat hiasan payung kecil sederhana berwarna warni yang semakin menambah keunikan dari wisata alam yang satu ini. selain itu, adanya fasilitas tambahan memiliki tujuan untuk meyakinkan wisatawan bahwa hutan pinus mentaos layak dikunjungi. banjarbaru",images/banjarbaru/image_2
3,Danau Galuh Cempaka,"Kalimantan Selatan khususnya Banjarbaru ternyata memiliki cukup potensi menjadi daerah wisata. Banyak daerah yang dikembangkan sebagai daya tarik bagi para wisatawan baik lokal maupun mancanegara. Salah satu yang dapat Anda datangi adalah Danau Galuh Cempaka. Perairan dengan warna kehijauan ini menampilkan gradasi yang serasi dengan alam yang ada di sekelilingnya. Tempat ini menjadi lokasi yang sangat cocok untuk menghabiskan libur akhir pekan atau hanya sekedar bersantai menikmati keindahan alam sekitar. Letaknya yang berada agak ke dalam, membuat suasana di sekitar danau menjadi lebih damai. Selain itu, banyak sekali pepohonan rindang yang hijau menambah suasana lebih sejuk dan nyaman untuk dijadikan tempat berlibur.",Alam,Banjarbaru,Kalimantan Selatan,5000,3.9,"{'lat': -3.5076127,'lng': 114.748248}",-3.5076127,114.7482480,"danau galuh cempaka alam kalimantan selatan khususnya banjarbaru ternyata memiliki cukup potensi menjadi daerah wisata. banyak daerah yang dikembangkan sebagai daya tarik bagi para wisatawan baik lokal maupun mancanegara. salah satu yang dapat anda datangi adalah danau galuh cempaka. perairan dengan warna kehijauan ini menampilkan gradasi yang serasi dengan alam yang ada di sekelilingnya. tempat ini menjadi lokasi yang sangat cocok untuk menghabiskan libur akhir pekan atau hanya sekedar bersantai menikmati keindahan alam sekitar. letaknya yang berada agak ke dalam, membuat suasana di sekitar danau menjadi lebih damai. selain itu, banyak sekali pepohonan rindang yang hijau menambah suasana lebih sejuk dan nyaman untuk dijadikan tempat berlibur. banjarbaru",images/banjarbaru/image_3
4,Embung Sidodadi,Embung Sidodadi merupakan sebuah cekungan yang memiliki fungsi sebagi tempat menampung air dan juga dimanfaatkan sebagai tempat pemancingan. Embung ini cukup dalam dan berukuran besar. Pada bagian tepinya dibuat dengan menggunkan beton dan diberi pagar demi keamanan. Embung Sidodadi diresmikan oleh walikota tanggal 27 April 2019,Alam,Banjarbaru,Kalimantan Selatan,15000,4.1,"{'lat': -3.4520082,'lng': 114.809857}",-3.4520082,114.8098570,embung sidodadi alam embung sidodadi merupakan sebuah cekungan yang memiliki fungsi sebagi tempat menampung air dan juga dimanfaatkan sebagai tempat pemancingan. embung ini cukup dalam dan berukuran besar. pada bagian tepinya dibuat dengan menggunkan beton dan diberi pagar demi keamanan. embung sidodadi diresmikan oleh walikota tanggal 27 april 2019 banjarbaru,images/banjarbaru/image_4
5,Banua Botanical Garden,"Banua Botanical Garden menjati tempat untuk belajar banyak jenis tanaman obat, hingga mengunjungi konservasi flora langka khas Kalimantan.",Tempat Rekreasi,Banjarbaru,Kalimantan Selatan,30000,4.4,"{'lat': -3.4897951,'lng': 114.816578}",-3.4897951,114.8165780,"banua botanical garden tempat rekreasi banua botanical garden menjati tempat untuk belajar banyak jenis tanaman obat, hingga mengunjungi konservasi flora langka khas kalimantan. banjarbaru",images/banjarbaru/image_5
6,Bukit Lentera,Bukit Lentera merupakan tempat untuk melihat suasana kota Banjarbaru yang unik dan berbeda dari biasanya.,Pegunungan,Banjarbaru,Kalimantan Selatan,20000,4.2,"{'lat': -3.4660684,'lng': 114.635307}",-3.4660684,114.6353070,bukit lentera pegunungan bukit lentera merupakan tempat untuk melihat suasana kota banjarbaru yang unik dan berbeda dari biasanya. banjarbaru,images/banjarbaru/image_6
7,Danau Biru Desa Tiung,"Danau ini memiliki air tanah yang jernih dan berwarna biru kehijauan, sehingga disebut sebagai Danau Biru Desa Tiung",Alam,Banjarbaru,Kalimantan Selatan,10000,4.2,"{'lat': -3.5300401,'lng': 114.863355}",-3.5300401,114.8633550,"danau biru desa tiung alam danau ini memiliki air tanah yang jernih dan berwarna biru kehijauan, sehingga disebut sebagai danau biru desa tiung banjarbaru",images/banjarbaru/image_7
8,Museum Lambung Mangkurat,Museum Lambung Mangkurat dapat dijadikan sebagai sumber belajar IPS. mengenal budaya serta adat istiadat budaya Kalimantan Selatan,Sejarah dan Budaya,Banjarbaru,Kalimantan Selatan,5000,4.4,"{'lat': -3.44264924495261,'lng': 114.838444581842}",-3.4426492,114.8384446,museum lambung mangkurat sejarah dan budaya museum lambung mangkurat dapat dijadikan sebagai sumber belajar ips. mengenal budaya serta adat istiadat budaya kalimantan selatan banjarbaru,images/banjarbaru/image_8
9,Kampung Pelangi Banjarbaru,Daya tarik pertama yang dimiliki wisata unik ini adalah rumah warga yang dihiasi cat warna warni.,Tempat Rekreasi,Banjarbaru,Kalimantan Selatan,0,4.2,"{'lat': -3.4473002,'lng': 114.830888}",-3.4473002,114.8308880,kampung pelangi banjarbaru tempat rekreasi daya tarik pertama yang dimiliki wisata unik ini adalah rumah warga yang dihiasi cat warna warni. banjarbaru,images/banjarbaru/image_9
10,Alaska Park Banjarbaru,Alaska Park mempunyai daya tarik dan beragam keseruan yang membuat para wisatawan ingin mengunjungi tempat wisata ini. mulai dari spot foto hingga wahana permainan,Tempat Rekreasi,Banjarbaru,Kalimantan Selatan,50000,4.4,"{'lat': -3.5320031,'lng': 114.914628}",-3.5320031,114.9146280,alaska park banjarbaru tempat rekreasi alaska park mempunyai daya tarik dan beragam keseruan yang membuat para wisatawan ingin mengunjungi tempat wisata ini. mulai dari spot foto hingga wahana permainan banjarbaru,images/banjarbaru/image_10
