id,place_name,description,category,city,province,price,rating,coordinate,lat,long,metadata,dir
1,Pantai Segara Ayu,"Objek Wisata Pantai Segara Ayu di Sanur Denpasar Bali adalah salah satu tempat wisata yang berada di Jl. Segara Ayu, Desa Sanur Kaja, Kecamatan Denpasar Selatan, Kota Denpasar, Bali, Indonesia. Objek Wisata Pantai Segara Ayu di Sanur Denpasar Bali adalah tempat wisata yang ramai dengan wisatawan pada hari biasa maupun hari liburan. Tempat ini sangat indah dan bisa memberikan sensasi yang berbeda dengan aktivitas kita sehari hari. Objek Wisata Pantai Segara Ayu di Sanur Denpasar Bali memiliki pesona keindahan yang sangat menarik untuk dikunjungi. Sangat di sayangkan jika anda berada di kota Denpasar tidak mengunjungi Objek Wisata Pantai Segara Ayu di Sanur Denpasar Bali yang mempunyai keindahan yang tiada duanya tersebut.",Alam,Denpasar,Bali,2000,4.5,"{'lat': -8.68246,'lng': 115.2643}",-8.6824600,115.2643000,"pantai segara ayu alam objek wisata pantai segara ayu di sanur denpasar bali adalah salah satu tempat wisata yang berada di jl. segara ayu, desa sanur kaja, kecamatan denpasar selatan, kota denpasar, bali, indonesia. objek wisata pantai segara ayu di sanur denpasar bali adalah tempat wisata yang ramai dengan wisatawan pada hari biasa maupun hari liburan. tempat ini sangat indah dan bisa memberikan sensasi yang berbeda dengan aktivitas kita sehari hari. objek wisata pantai segara ayu di sanur denpasar bali memiliki pesona keindahan yang sangat menarik untuk dikunjungi. sangat di sayangkan jika anda berada di kota denpasar tidak mengunjungi objek wisata pantai segara ayu di sanur denpasar bali yang mempunyai keindahan yang tiada duanya tersebut. denpasar",images/bali/image_1
2,Pantai Karang,"Pantai Karang Sanur memiliki pantai berpasir putih yang luas dengan air laut yang tenang serta ombak yang kecil sehingga sesuai untuk tempat rekreasi keluarga. Wisatawan disini bisa beraktifitas berenang, menyewa kano, memancing, bersanatai menikmati keindahan panoramanya. Pantai ini dinamakan pantai Karang karena banyak terdapat batu karang. Tempat wisata ini banyak pohon perindang sehingga dapat digunakan wisatawan pada siang hari menikmati keindahan pantai ini. Pada pagi hari bisa menyaksikan keindahan saat matahari terbit yang begitu memukau.",Alam,Denpasar,Bali,20000,4.6,"{'lat': -8.69374,'lng': 115.2664}",-8.6937400,115.2664000,"pantai karang alam pantai karang sanur memiliki pantai berpasir putih yang luas dengan air laut yang tenang serta ombak yang kecil sehingga sesuai untuk tempat rekreasi keluarga. wisatawan disini bisa beraktifitas berenang, menyewa kano, memancing, bersanatai menikmati keindahan panoramanya. pantai ini dinamakan pantai karang karena banyak terdapat batu karang. tempat wisata ini banyak pohon perindang sehingga dapat digunakan wisatawan pada siang hari menikmati keindahan pantai ini. pada pagi hari bisa menyaksikan keindahan saat matahari terbit yang begitu memukau. denpasar",images/bali/image_2
3,Pantai Semawang,"Pesona alam indah dan menarik objek wisata pantai Semawang ini melengkapi daftar tempat rekreasi alam pesisir di kawasan Sanur yang merupakan wilayah pariwisata di kota Denpasar. Pulau Dewata Bali dikelilingi oleh lautan, sehingga tidak mengherankan pulau kecil ini memiliki banyak alam pesisir cantik dan tidak bisa dipungkiri daya tarik wisatawan datang liburan ke Bali sebagian besar karena daya tari objek wisata pantai yang ditawarkan.",Alam,Denpasar,Bali,0,4.4,"{'lat': -8.70713,'lng': 115.2627}",-8.7071300,115.2627000,"pantai semawang alam pesona alam indah dan menarik objek wisata pantai semawang ini melengkapi daftar tempat rekreasi alam pesisir di kawasan sanur yang merupakan wilayah pariwisata di kota denpasar. pulau dewata bali dikelilingi oleh lautan, sehingga tidak mengherankan pulau kecil ini memiliki banyak alam pesisir cantik dan tidak bisa dipungkiri daya tarik wisatawan datang liburan ke bali sebagian besar karena daya tari objek wisata pantai yang ditawarkan. denpasar",images/bali/image_3
4,Pantai Matahari Terbit,"Keindahan alam di Sanur sebagai destinasi pariwisata di Bali tetap memiliki daya tarik tersendiri bagi para wisatawan baik asing dan mancanegara. Sanur memiliki kawasan pantai yang sempurna menghadap ke arah Timur, sehingga sangat ideal untuk menyaksikan keindahan matahari terbit atau sunrise. Salah satu pantai di sanur yang dikenal sebagai Pantai Matahari Terbit menjadi tempat yang sangat menarik untuk bisa menyaksikan pemandangan matahari terbit di pagi hari. Pantai Matahari Terbit ini terletak di kawasan Sanur, Bali. Secara khusus, pantai ini menjadi bagian dari Desa Sanur Kauh, Sanur di Kota Denpasar Bali.",Alam,Denpasar,Bali,5000,4.6,"{'lat': -8.67068,'lng': 115.2617}",-8.6706800,115.2617000,"pantai matahari terbit alam keindahan alam di sanur sebagai destinasi pariwisata di bali tetap memiliki daya tarik tersendiri bagi para wisatawan baik asing dan mancanegara. sanur memiliki kawasan pantai yang sempurna menghadap ke arah timur, sehingga sangat ideal untuk menyaksikan keindahan matahari terbit atau sunrise. salah satu pantai di sanur yang dikenal sebagai pantai matahari terbit menjadi tempat yang sangat menarik untuk bisa menyaksikan pemandangan matahari terbit di pagi hari. pantai matahari terbit ini terletak di kawasan sanur, bali. secara khusus, pantai ini menjadi bagian dari desa sanur kauh, sanur di kota denpasar bali. denpasar",images/bali/image_4
5,Pantai Duyung,"Pantai Duyung ini menyuguhkan pemandangan alam pesisir yang indah dengan pantainya pasir putih, serta menghadap ke Timur, sehingga pengunjung bisa menyaksikan keindahan matahari terbit atau sunrise dengan sempurna. Pantai Duyung terletak di Jalan Duyung, kawasan pariwisata Sanur, Denpasar Selatan, Bali, lokasinya berada di sebelah Selatan pantai Sindu ataupun hotel Inna Grand Bali Beach yang menjadi ikon pariwisata Sanur, berada diantara pantai matahari terbit Sanur dan pantai Mertasari. Suasana alam di pantai Duyung Sanur ini, terasa tenang dan damai, sehingga ideal bagi anda yang butuh tempat wisata dan rekreasi yang lebih privasi, bagi warga kota Denpasar ataupun wisatawan bisa menjadikan tempat wisata alam pantai ini menjadi tujuan tour anda selanjutnya ketika liburan di pulau Dewata Bali.",Alam,Denpasar,Bali,0,4.4,"{'lat': -8.70383,'lng': 115.2643}",-8.7038300,115.2643000,"pantai duyung alam pantai duyung ini menyuguhkan pemandangan alam pesisir yang indah dengan pantainya pasir putih, serta menghadap ke timur, sehingga pengunjung bisa menyaksikan keindahan matahari terbit atau sunrise dengan sempurna. pantai duyung terletak di jalan duyung, kawasan pariwisata sanur, denpasar selatan, bali, lokasinya berada di sebelah selatan pantai sindu ataupun hotel inna grand bali beach yang menjadi ikon pariwisata sanur, berada diantara pantai matahari terbit sanur dan pantai mertasari. suasana alam di pantai duyung sanur ini, terasa tenang dan damai, sehingga ideal bagi anda yang butuh tempat wisata dan rekreasi yang lebih privasi, bagi warga kota denpasar ataupun wisatawan bisa menjadikan tempat wisata alam pantai ini menjadi tujuan tour anda selanjutnya ketika liburan di pulau dewata bali. denpasar",images/bali/image_5
6,Pantai Muara Tangtu,"Pantai Tangtu Denpasar merupakan pantai berpasir hitam di kawasan Denpasar, Bali. Pantai ini berada di sebelah timur pantai Padang Galak dan di sebelah Pantai Biaung. Pantai ini ramai dikunjungi wisatawan yang berniat “membersihkan diri” dari segala kesialan dan penyakit di Pura dekat pantai ini. Dahulunya, di pantai ini terlantar sebab banyaknya sampah dari laut ataupun sampah ranting pohon. Lambat laun, pemuda setempat berinisiatif untuk membersihkan pantai ini dari sampah dan mendaur ulang sampah ranting pohon menjadi rumah penduduk, api unggun, dan lain-lain. Spot tersebut yang kini menjadi spot wajib bagi pecinta fotografi.",Alam,Denpasar,Bali,5000,4.4,"{'lat': -8.65452,'lng': 115.2684}",-8.6545200,115.2684000,"pantai muara tangtu alam pantai tangtu denpasar merupakan pantai berpasir hitam di kawasan denpasar, bali. pantai ini berada di sebelah timur pantai padang galak dan di sebelah pantai biaung. pantai ini ramai dikunjungi wisatawan yang berniat “membersihkan diri” dari segala kesialan dan penyakit di pura dekat pantai ini. dahulunya, di pantai ini terlantar sebab banyaknya sampah dari laut ataupun sampah ranting pohon. lambat laun, pemuda setempat berinisiatif untuk membersihkan pantai ini dari sampah dan mendaur ulang sampah ranting pohon menjadi rumah penduduk, api unggun, dan lain-lain. spot tersebut yang kini menjadi spot wajib bagi pecinta fotografi. denpasar",images/bali/image_6
7,Pantai Biaung,"Nama pantai Biaung memang belum sepopuler tetangganya yaitu pantai Sanur, tetapi keunikan pesisir ini, karena suasana alamnya yang masih alami dan sepi karena tidak begitu banyak pengunjung, membuat anda akan lebih leluasa untuk sekedar bersantai atau menikmati ketenangan.Walaupun Denpasar selalu identik dengan keramaian dan hiruk pikuk aktivitas manusia, tetapi berada di objek wisata pantai Biaung memberikan kesan berbeda, tempat ini bisa menjadi tujuan bersantai dan refresh, yang jaraknya tidak begitu jauh dari pusat kota Denpasar.",Alam,Denpasar,Bali,0,4.2,"{'lat': -8.65268,'lng': 115.2704}",-8.6526800,115.2704000,"pantai biaung alam nama pantai biaung memang belum sepopuler tetangganya yaitu pantai sanur, tetapi keunikan pesisir ini, karena suasana alamnya yang masih alami dan sepi karena tidak begitu banyak pengunjung, membuat anda akan lebih leluasa untuk sekedar bersantai atau menikmati ketenangan.walaupun denpasar selalu identik dengan keramaian dan hiruk pikuk aktivitas manusia, tetapi berada di objek wisata pantai biaung memberikan kesan berbeda, tempat ini bisa menjadi tujuan bersantai dan refresh, yang jaraknya tidak begitu jauh dari pusat kota denpasar. denpasar",images/bali/image_7
8,Pantai Padang Galak,"Denpasar memiliki cukup banyak pantai, salah satunya pantai Padang Galak. Pantai Padang Galak ini berada di Jalan Padang Galak, Sanur, Denpasar. Pantai ini memiliki pasir hitam yang sangat manis,  wisatawan yang ingin melihat air lautnya maka harus naik atas tangga dulu. Karena pantai ini agak kebawah dari daratan, ketika datang kesana tidak bisa langsung melihat hamparan luas lautan. Untuk menuju pasir pantai atau berada didepan bibir pantai ini kita bisa melewati batu-batu besar dulu, bila tidak ingin terpeleset bisa melewati anak tangga. Biasanya pantai ini akan ramai bila ada upacara keagaman. Meskipun tidak ada upacar pantai padang galak masih terlihat ramai pada saat sore hari. Para wisatawan akan datang ke tempat itu biasanya sambil menikmati makanan yang dijual di pinggir pantai tersebut. Pantai ini cocok buat kamu-kamu yang suka akan ketenangan. ",Alam,Denpasar,Bali,5000,4.6,"{'lat': -8.66114,'lng': 115.2633}",-8.6611400,115.2633000,"pantai padang galak alam denpasar memiliki cukup banyak pantai, salah satunya pantai padang galak. pantai padang galak ini berada di jalan padang galak, sanur, denpasar. pantai ini memiliki pasir hitam yang sangat manis,  wisatawan yang ingin melihat air lautnya maka harus naik atas tangga dulu. karena pantai ini agak kebawah dari daratan, ketika datang kesana tidak bisa langsung melihat hamparan luas lautan. untuk menuju pasir pantai atau berada didepan bibir pantai ini kita bisa melewati batu-batu besar dulu, bila tidak ingin terpeleset bisa melewati anak tangga. biasanya pantai ini akan ramai bila ada upacara keagaman. meskipun tidak ada upacar pantai padang galak masih terlihat ramai pada saat sore hari. para wisatawan akan datang ke tempat itu biasanya sambil menikmati makanan yang dijual di pinggir pantai tersebut. pantai ini cocok buat kamu-kamu yang suka akan ketenangan.  denpasar",images/bali/image_8
9,Pantai Sanur,"Pantai Sanur adalah salah satu pantai wisata yang ada di pulau Bali. Pantai ini terletak persis di sebelah timur kota Denpasar, Bali. Sanur berada di Kotamadya Denpasar. Karena memiliki ombak yang cukup tenang, maka pantai Sanur tidak bisa dipakai untuk selancar layaknya Pantai Kuta.[1] Tak jauh dari Pantai Sanur terdapat juga lokasi wisata selam dan snorkeling. Lokasi selam ini dapat digunakan oleh para penyelam dari semua tingkatan keahlian. Pantai Sanur juga dikenal sebagai sunrise beach (pantai untuk melihat matahari terbit), berlawanan dengan Pantai Kuta yang lebih dikenal dengan pemandangan matahari tenggelam.",Alam,Denpasar,Bali,5000,4.4,"{'lat': -8.67467,'lng': 115.264}",-8.6746700,115.2640000,"pantai sanur alam pantai sanur adalah salah satu pantai wisata yang ada di pulau bali. pantai ini terletak persis di sebelah timur kota denpasar, bali. sanur berada di kotamadya denpasar. karena memiliki ombak yang cukup tenang, maka pantai sanur tidak bisa dipakai untuk selancar layaknya pantai kuta.[1] tak jauh dari pantai sanur terdapat juga lokasi wisata selam dan snorkeling. lokasi selam ini dapat digunakan oleh para penyelam dari semua tingkatan keahlian. pantai sanur juga dikenal sebagai sunrise beach (pantai untuk melihat matahari terbit), berlawanan dengan pantai kuta yang lebih dikenal dengan pemandangan matahari tenggelam. denpasar",images/bali/image_9
10,Pantai Biaung,"Objek Wisata Pantai Biaung di Kesiman Denpasar Bali adalah salah satu tempat wisata yang berada di Desa Kesiman Kertalangu, Kecamatan Denpasar Timur, Kota Denpasar, Bali, Indonesia. Objek Wisata Pantai Biaung di Kesiman Denpasar Bali adalah tempat wisata yang ramai dengan wisatawan pada hari biasa maupun hari liburan. Tempat ini sangat indah dan bisa memberikan sensasi yang berbeda dengan aktivitas kita sehari hari. Objek Wisata Pantai Biaung di Kesiman Denpasar Bali memiliki pesona keindahan yang sangat menarik untuk dikunjungi. Sangat di sayangkan jika anda berada di kota Denpasar tidak mengunjungi Objek Wisata Pantai Biaung di Kesiman Denpasar Bali yang mempunyai keindahan yang tiada duanya tersebut.",Alam,Denpasar,Bali,0,4.7,"{'lat': -8.65284,'lng': 115.2703}",-8.6528400,115.2703000,"pantai biaung alam objek wisata pantai biaung di kesiman denpasar bali adalah salah satu tempat wisata yang berada di desa kesiman kertalangu, kecamatan denpasar timur, kota denpasar, bali, indonesia. objek wisata pantai biaung di kesiman denpasar bali adalah tempat wisata yang ramai dengan wisatawan pada hari biasa maupun hari liburan. tempat ini sangat indah dan bisa memberikan sensasi yang berbeda dengan aktivitas kita sehari hari. objek wisata pantai biaung di kesiman denpasar bali memiliki pesona keindahan yang sangat menarik untuk dikunjungi. sangat di sayangkan jika anda berada di kota denpasar tidak mengunjungi objek wisata pantai biaung di kesiman denpasar bali yang mempunyai keindahan yang tiada duanya tersebut. denpasar",images/bali/image_10
