id,place_name,description,category,city,province,price,rating,coordinate,lat,long,metadata,dir
1,Candi Gedong Songo,"Candi Gedong Songo (bahasa Jawa: ꦕꦤ꧀ꦝꦶ​ꦒꦼꦝꦺꦴꦁ​ꦱꦔ, translit. Candhi Gedhong Sanga) adalah nama sebuah kompleks bangunan candi peninggalan budaya Hindu yang terletak di desa Candi, Kecamatan Bandungan, Kabupaten Semarang, Jawa Tengah, Indonesia tepatnya di lereng Gunung Ungaran. Di kompleks candi ini terdapat sembilan buah candi.\nCandi ini diketemukan oleh Raffles pada tahun 1804 dan merupakan peninggalan budaya Hindu dari zaman Wangsa Syailendra abad ke-9 (tahun 927 masehi).Candi ini memiliki persamaan dengan kompleks Candi Dieng di Wonosobo. Candi ini terletak pada ketinggian sekitar 1.200 m di atas permukaan laut sehingga suhu udara di sini cukup dingin (berkisar antara 19-27 °C)\nLokasi sembilan candi yang tersebar di lereng Gunung Ungaran ini memiliki pemandangan alam yang indah. Selain itu, objek wisata ini juga dilengkapi dengan pemandian air panas dari mata air yang mengandung belerang, area perkemahan, dan wisata berkuda.",Sejarah dan Budaya,Semarang,Jawa Tengah,10000,4.5,"{'lat': -7.209886700000002, 'lng': 110.3421119}",-7.2098867,110.3421119,"candi gedong songo sejarah dan budaya candi gedong songo (bahasa jawa: ꦕꦤ꧀ꦝꦶ​ꦒꦼꦝꦺꦴꦁ​ꦱꦔ, translit. candhi gedhong sanga) adalah nama sebuah kompleks bangunan candi peninggalan budaya hindu yang terletak di desa candi, kecamatan bandungan, kabupaten semarang, jawa tengah, indonesia tepatnya di lereng gunung ungaran. di kompleks candi ini terdapat sembilan buah candi.\ncandi ini diketemukan oleh raffles pada tahun 1804 dan merupakan peninggalan budaya hindu dari zaman wangsa syailendra abad ke-9 (tahun 927 masehi).candi ini memiliki persamaan dengan kompleks candi dieng di wonosobo. candi ini terletak pada ketinggian sekitar 1.200 m di atas permukaan laut sehingga suhu udara di sini cukup dingin (berkisar antara 19-27 °c)\nlokasi sembilan candi yang tersebar di lereng gunung ungaran ini memiliki pemandangan alam yang indah. selain itu, objek wisata ini juga dilengkapi dengan pemandian air panas dari mata air yang mengandung belerang, area perkemahan, dan wisata berkuda. semarang",images/semarang/image_1
2,Grand Maerakaca,"Masyarakat Jawa Tengah mungkin sudah tidak asing dengan nama “Puri Maerokoco”. Taman wisata ini merupakan “Taman Mini” versi Jawa Tengah yang menyajikan replika dan miniatur bangunan khas dari berbagai daerah di Jawa Tengah. Saat ini, Puri Maerakaca sudah berganti nama menjadi Grand Maerakaca. Dengan wahana yang lebih bervariasi, taman rekreasi ini menjadi salah satu destinasi wisata di Semarang yang cocok untuk rekreasi keluarga.",Tempat Rekreasi,Semarang,Jawa Tengah,15000,4.4,"{'lat': -6.9605225, 'lng': 110.3863941}",-6.9605225,110.3863941,"grand maerakaca tempat rekreasi masyarakat jawa tengah mungkin sudah tidak asing dengan nama “puri maerokoco”. taman wisata ini merupakan “taman mini” versi jawa tengah yang menyajikan replika dan miniatur bangunan khas dari berbagai daerah di jawa tengah. saat ini, puri maerakaca sudah berganti nama menjadi grand maerakaca. dengan wahana yang lebih bervariasi, taman rekreasi ini menjadi salah satu destinasi wisata di semarang yang cocok untuk rekreasi keluarga. semarang",images/semarang/image_2
3,Kampung Pelangi,"Kampung pelangi atau dalam bahasa Inggris disebut Rainbow Village merupakan sebutan untuk daerah atau kampung yang rumah-rumah penduduknya dicat dengan warna-warni. Sebenarnya Kampung Pelangi pada awalnya merupakan daerah kumuh yang dikemudian secara kreatif diubah menjadi daerah yang menarik untuk dijadikan sebagai destinasi wisata, terutama bagi masyarakat yang senang atau sedang mencari spot yang menarik untuk mengabadikan momen.\nBanyak daerah-daerah di Indonesia, terutama di jawa memliki tempat yang disebut Kampung pelangi, antara lain di Malang, Semarang, Jakarta, Bandung, dan kota-kota lainnya. Contoh kampung seperti ini yaitu, kampung warna-warni di Jodipan dan Tridi, Kota Malang, Jawa Timur.",Desa Wisata,Semarang,Jawa Tengah,3000,4.3,"{'lat': -6.988881200000001, 'lng': 110.4083781}",-6.9888812,110.4083781,"kampung pelangi desa wisata kampung pelangi atau dalam bahasa inggris disebut rainbow village merupakan sebutan untuk daerah atau kampung yang rumah-rumah penduduknya dicat dengan warna-warni. sebenarnya kampung pelangi pada awalnya merupakan daerah kumuh yang dikemudian secara kreatif diubah menjadi daerah yang menarik untuk dijadikan sebagai destinasi wisata, terutama bagi masyarakat yang senang atau sedang mencari spot yang menarik untuk mengabadikan momen.\nbanyak daerah-daerah di indonesia, terutama di jawa memliki tempat yang disebut kampung pelangi, antara lain di malang, semarang, jakarta, bandung, dan kota-kota lainnya. contoh kampung seperti ini yaitu, kampung warna-warni di jodipan dan tridi, kota malang, jawa timur. semarang",images/semarang/image_3
4,Lawang Sewu,"Lawang Sewu (""Seribu Pintu"") (bahasa Jawa: ꦭꦮꦁ​ꦱꦺꦮꦸ, translit. Lawang Sèwu) adalah landmark di Semarang, Jawa Tengah, Indonesia, yang dibangun sebagai kantor pusat Perusahaan Kereta Api Hindia Belanda. Bangunan era kolonial terkenal sebagai rumah berhantu dan lokasi syuting, meskipun pemerintah kota Semarang telah berusaha mengubah citra itu.",Sejarah dan Budaya,Semarang,Jawa Tengah,10000,4.6,"{'lat': -6.9839099, 'lng': 110.4104342}",-6.9839099,110.4104342,"lawang sewu sejarah dan budaya lawang sewu (""seribu pintu"") (bahasa jawa: ꦭꦮꦁ​ꦱꦺꦮꦸ, translit. lawang sèwu) adalah landmark di semarang, jawa tengah, indonesia, yang dibangun sebagai kantor pusat perusahaan kereta api hindia belanda. bangunan era kolonial terkenal sebagai rumah berhantu dan lokasi syuting, meskipun pemerintah kota semarang telah berusaha mengubah citra itu. semarang",images/semarang/image_4
5,Sam Poo Kong Temple,"Sam Poo Kong (Hanzi: ; Pinyin: Sānbǎo Dòng), juga dikenal sebagai Kuil Gedung Batu, adalah kuil Tionghoa tertua di Semarang, Jawa Tengah, Indonesia. Awalnya didirikan oleh penjelajah Muslim Tionghoa Zheng He (juga dikenal sebagai Sanbao), sekarang dibagi oleh orang Indonesia dari berbagai denominasi agama, termasuk Muslim dan Budha, dan etnis, termasuk Tionghoa dan Jawa.",Sejarah dan Budaya,Semarang,Jawa Tengah,35000,4.5,"{'lat': -6.996236599999999, 'lng': 110.398122}",-6.9962366,110.3981220,"sam poo kong temple sejarah dan budaya sam poo kong (hanzi: ; pinyin: sānbǎo dòng), juga dikenal sebagai kuil gedung batu, adalah kuil tionghoa tertua di semarang, jawa tengah, indonesia. awalnya didirikan oleh penjelajah muslim tionghoa zheng he (juga dikenal sebagai sanbao), sekarang dibagi oleh orang indonesia dari berbagai denominasi agama, termasuk muslim dan budha, dan etnis, termasuk tionghoa dan jawa. semarang",images/semarang/image_5
6,Desa Wisata Lembah Kalipancur,"Wisata alam tengah menjadi sorotan bagi dunia pariwisata. Wisata alam tidak hanya pegunungan, danau, hutan, air terjun, atau pantai. Tapi juga merambah ke konsep pedesaan, seperti Desa Wisata Lembah Kalipancur. Tempat wisata ini menawarkan rekreasi berkonsep pedesaan yang ada di Kota Semarang. Meskipun berkonsep pedesaan, lokasinya tidak jauh dari pusat kota. Dan objek wisata yang sudah lama berdiri ini, masih tetap diminati oleh wisatawan.",Desa Wisata,Semarang,Jawa Tengah,0,3.9,"{'lat': -7.0205245, 'lng': 110.3754605}",-7.0205245,110.3754605,"desa wisata lembah kalipancur desa wisata wisata alam tengah menjadi sorotan bagi dunia pariwisata. wisata alam tidak hanya pegunungan, danau, hutan, air terjun, atau pantai. tapi juga merambah ke konsep pedesaan, seperti desa wisata lembah kalipancur. tempat wisata ini menawarkan rekreasi berkonsep pedesaan yang ada di kota semarang. meskipun berkonsep pedesaan, lokasinya tidak jauh dari pusat kota. dan objek wisata yang sudah lama berdiri ini, masih tetap diminati oleh wisatawan. semarang",images/semarang/image_6
7,Hutan Wisata Tinjomoyo Semarang,"Awalnya taman wisata hutan Tinjomoyo Semarang (smg) ini merupakan sebuah kebun binatang dengan ragam binatang hutan di dalamnya. Namun terjadi banjir besar, hingga memutuskan jembatan besar yang menjadi akses utama menuju hutan wisata. Hutan Tinjomoyo sendiri memiliki kontur wilayah dengan perpaduan bukit, sungai dan hutan. Tumbuhan yang paling banyak terdapat di sini adalah vegetasi pohon jati serta pinus. Oleh karena itu, tak heran jika kawasan ini cocok sekali dijadikan hutan wisata yang masih alami.Dengan luas lahan 57,5 hektare area tersebut lebih sering dimanfaatkan sebagai tempat berkemah",Alam,Semarang,Jawa Tengah,3000,4.3,"{'lat': -7.0296837, 'lng': 110.3999611}",-7.0296837,110.3999611,"hutan wisata tinjomoyo semarang alam awalnya taman wisata hutan tinjomoyo semarang (smg) ini merupakan sebuah kebun binatang dengan ragam binatang hutan di dalamnya. namun terjadi banjir besar, hingga memutuskan jembatan besar yang menjadi akses utama menuju hutan wisata. hutan tinjomoyo sendiri memiliki kontur wilayah dengan perpaduan bukit, sungai dan hutan. tumbuhan yang paling banyak terdapat di sini adalah vegetasi pohon jati serta pinus. oleh karena itu, tak heran jika kawasan ini cocok sekali dijadikan hutan wisata yang masih alami.dengan luas lahan 57,5 hektare area tersebut lebih sering dimanfaatkan sebagai tempat berkemah semarang",images/semarang/image_7
8,Taman Kasmaran,"Taman Kasmaran terletak di sebelah kiri Pasar Bunga. Gedung food court dan Taman Kasmaran dibangun dua lantai. Lantai bawah utuk spot dijadikan wisata kuliner, sementara lantai atas menjadi taman. Tidak sekadar taman biasa, Taman Kasmaran itu dilengkapi dengan pemandangan yang amat menarik dengan background Kampung Pelangi. Taman Kasmaran cukup luas, dilengkapi perabotan kursi dan meja ala kafe. Lokasi baru ini diyakini akan menjadi spot alternatif selfie terbaru di Kota Semarang.",Tempat Rekreasi,Semarang,Jawa Tengah,3000,4.5,"{'lat': -6.9909404, 'lng': 110.4065932}",-6.9909404,110.4065932,"taman kasmaran tempat rekreasi taman kasmaran terletak di sebelah kiri pasar bunga. gedung food court dan taman kasmaran dibangun dua lantai. lantai bawah utuk spot dijadikan wisata kuliner, sementara lantai atas menjadi taman. tidak sekadar taman biasa, taman kasmaran itu dilengkapi dengan pemandangan yang amat menarik dengan background kampung pelangi. taman kasmaran cukup luas, dilengkapi perabotan kursi dan meja ala kafe. lokasi baru ini diyakini akan menjadi spot alternatif selfie terbaru di kota semarang. semarang",images/semarang/image_8
9,Pantai Baruna,"kunjungi Pantai Baruna yang berada di Kota Semarang, Jawa Tengah! Pantai yang satu ini akan memberikan pengalaman wisata yang berbeda. Pasalnya, di sini tidak ada hamparan pasir. Memang Pantai Baruna merupakan objek wisata ‘tidak resmi’ milik Kota Semarang. Pantai ini berada di belakang kawasan pabrik semen. Sehingga tidak ada kepadatan wisatawan atau tempat berselancar di sini. Yang ada hanyalah hamparan padang rumput dan ilalang di hadapan Laut Jawa yang tenang.",Alam,Semarang,Jawa Tengah,3000,4.0,"{'lat': -6.945105199999999, 'lng': 110.3982398}",-6.9451052,110.3982398,"pantai baruna alam kunjungi pantai baruna yang berada di kota semarang, jawa tengah! pantai yang satu ini akan memberikan pengalaman wisata yang berbeda. pasalnya, di sini tidak ada hamparan pasir. memang pantai baruna merupakan objek wisata ‘tidak resmi’ milik kota semarang. pantai ini berada di belakang kawasan pabrik semen. sehingga tidak ada kepadatan wisatawan atau tempat berselancar di sini. yang ada hanyalah hamparan padang rumput dan ilalang di hadapan laut jawa yang tenang. semarang",images/semarang/image_9
10,Pantai Marina,"Pantai Marina (bahasa Jawa: ꦥꦱꦶꦱꦶꦂ​ꦩꦫꦶꦤ, translit. Pasisir Marina) adalah salah satu objek wisata pantai yang berada di kota Semarang, Jawa Tengah. Pantai ini menyimpan pemandangan eksotis khas kota Semarang. Dahulu, tempat ini merupakan hutan bakau dan tambak, tapi pemerintah setempat mengubahnya menjadi tempat rekreasi dengan cara reklamasi daratan. Hasil reklamasi dari hutan bakau ini, sekarang berupa perumahan, pertokoan, dan perkantoran, di sebelah selatan pantai.",Alam,Semarang,Jawa Tengah,3000,4.1,"{'lat': -6.948877, 'lng': 110.3893285}",-6.9488770,110.3893285,"pantai marina alam pantai marina (bahasa jawa: ꦥꦱꦶꦱꦶꦂ​ꦩꦫꦶꦤ, translit. pasisir marina) adalah salah satu objek wisata pantai yang berada di kota semarang, jawa tengah. pantai ini menyimpan pemandangan eksotis khas kota semarang. dahulu, tempat ini merupakan hutan bakau dan tambak, tapi pemerintah setempat mengubahnya menjadi tempat rekreasi dengan cara reklamasi daratan. hasil reklamasi dari hutan bakau ini, sekarang berupa perumahan, pertokoan, dan perkantoran, di sebelah selatan pantai. semarang",images/semarang/image_10
