id,place_name,description,category,city,province,price,rating,coordinate,lat,long,metadata,dir
1,Ekowisata Mangrove Wonorejo,"Hutan Wisata Mangrove Surabaya merupakan wisata yang menggabungkan wisata rekreasi dan edukasi. Di area dengan luas kurang lebih 200 hektar ini ditanami berbagai tanaman bakau. Lokasi wisata ini dikelola dengan baik oleh pemerintah Kota Surabaya. Sehingga wisata ini diminati pengunjung karena tertata rapi dan bersih. Aktivitas wisata yang bisa dilakukan antara lain berkeliling hutan mangrove baik menggunakan perahu atau berjalan kaki . Serta wisata edukasi mengenai ekosistem sekitar.",Alam,Surabaya,Jawa Timur,0,4.3,"{'lat': -7.308648199999999, 'lng': 112.8216622}",-7.3086482,112.8216622,"ekowisata mangrove wonorejo alam hutan wisata mangrove surabaya merupakan wisata yang menggabungkan wisata rekreasi dan edukasi. di area dengan luas kurang lebih 200 hektar ini ditanami berbagai tanaman bakau. lokasi wisata ini dikelola dengan baik oleh pemerintah kota surabaya. sehingga wisata ini diminati pengunjung karena tertata rapi dan bersih. aktivitas wisata yang bisa dilakukan antara lain berkeliling hutan mangrove baik menggunakan perahu atau berjalan kaki . serta wisata edukasi mengenai ekosistem sekitar. surabaya",images/surabaya/image_1
2,Taman Harmoni Keputih,"Tempat tersebut ialah Taman Hatmoni Keputih Surabaya yang memiliki segudang koleksi bunga warna-warni. Dulunya tempat ini merupakan lokasi pembuangan sampah atau TPA, namun kini bertransformasi menjadi sebuah wisata taman yang sangat cantik. Bukan hanya cantik, namun bunga-bunga yang bermekaran di Taman Harmoni terlihat sangat instagramable, sehingga tak heran jika mayoritas pengunjung tempat ini merupakan para kaum kawula muda penggiat sosial media. Lantas berapa sih budget untuk memasuki kawasan Taman Harmoni Surabaya ini? Kamu nggak perlu khawatir, karena harga tiket masuk Taman Harmoni Keputih Surabaya ini gratis. Kamu hanya perlu menyiapkan kocek untuk membayar karcis parkir saja.",Tempat Rekreasi,Surabaya,Jawa Timur,0,4.4,"{'lat': -7.2952211, 'lng': 112.8035603}",-7.2952211,112.8035603,"taman harmoni keputih tempat rekreasi tempat tersebut ialah taman hatmoni keputih surabaya yang memiliki segudang koleksi bunga warna-warni. dulunya tempat ini merupakan lokasi pembuangan sampah atau tpa, namun kini bertransformasi menjadi sebuah wisata taman yang sangat cantik. bukan hanya cantik, namun bunga-bunga yang bermekaran di taman harmoni terlihat sangat instagramable, sehingga tak heran jika mayoritas pengunjung tempat ini merupakan para kaum kawula muda penggiat sosial media. lantas berapa sih budget untuk memasuki kawasan taman harmoni surabaya ini? kamu nggak perlu khawatir, karena harga tiket masuk taman harmoni keputih surabaya ini gratis. kamu hanya perlu menyiapkan kocek untuk membayar karcis parkir saja. surabaya",images/surabaya/image_2
3,Air Mancur Menari,"Jembatan Kenjeran dengan air mancur menarinya sejatinya bukan hanya sebuah jembatan penghubung jalan saja, namun juga dimanfaatkan sebagai destinasi wisata oleh pemerintah kota Surabaya. Posisi air mancur menari sendiri berada di ujung jembatan Kenjeran dekat dengan anjungan penyeberangan atau di Taman Hiburan Pantai (THP). Lokasi ini sangat ramah kaum difabel karena tersedia lift yang dapat mereka gunakan untuk mempermudah perjalanan mereka. Sembari menunggu pertunjukan air mancur menari yang spektakuler di jembatan Kenjeran ini, Anda dapat menikmati pemandangan indah matahari terbenam (sunset) di jembatan ini. Jangan lewatkan untuk berfoto dengan laut lepas yang memesona sebagai latar belakangnya. Anda juga dapat menikmati berbagai kuliner lezat khas Jawa Timur di lokasi ini karena banyak pedagang kaki lima yang berjualan di sini. Berbagai mainan anak-anak pun dijual di lokasi ini. Jadi tidak perlu kuatir bahwa anak-anak akan merasa bosan menunggu pertunjukan air mancur menari yang mereka tunggu-tunggu. Silakan atur jadwal kunjungan Anda untuk menyaksikan taman air mancur menari Kenjeran ini dan buktikan sendiri keindahannya. Pastikan bahwa mobilitas Anda terjamin dengan sewa mobil Surabaya karena di lokasi ini masih minim transportasi online pada malam hari.",Tempat Rekreasi,Surabaya,Jawa Timur,35000,4.4,"{'lat': -7.2356933, 'lng': 112.7955234}",-7.2356933,112.7955234,"air mancur menari tempat rekreasi jembatan kenjeran dengan air mancur menarinya sejatinya bukan hanya sebuah jembatan penghubung jalan saja, namun juga dimanfaatkan sebagai destinasi wisata oleh pemerintah kota surabaya. posisi air mancur menari sendiri berada di ujung jembatan kenjeran dekat dengan anjungan penyeberangan atau di taman hiburan pantai (thp). lokasi ini sangat ramah kaum difabel karena tersedia lift yang dapat mereka gunakan untuk mempermudah perjalanan mereka. sembari menunggu pertunjukan air mancur menari yang spektakuler di jembatan kenjeran ini, anda dapat menikmati pemandangan indah matahari terbenam (sunset) di jembatan ini. jangan lewatkan untuk berfoto dengan laut lepas yang memesona sebagai latar belakangnya. anda juga dapat menikmati berbagai kuliner lezat khas jawa timur di lokasi ini karena banyak pedagang kaki lima yang berjualan di sini. berbagai mainan anak-anak pun dijual di lokasi ini. jadi tidak perlu kuatir bahwa anak-anak akan merasa bosan menunggu pertunjukan air mancur menari yang mereka tunggu-tunggu. silakan atur jadwal kunjungan anda untuk menyaksikan taman air mancur menari kenjeran ini dan buktikan sendiri keindahannya. pastikan bahwa mobilitas anda terjamin dengan sewa mobil surabaya karena di lokasi ini masih minim transportasi online pada malam hari. surabaya",images/surabaya/image_3
4,Taman Prestasi,"Taman Prestasi Surabaya merupakan salah satu taman yang begitu terkenal di Kota Pahlawan dan banyak dikunjungi, sehingga tak heran jika menjadi tempat favorit bagi keluarga terutama pada saat weekend. di tempat lain juga ada loh nama stadion dan taman yang sama persis dengan yang di Surabaya ini, di Bontang, Kaltim yang punya Stadion dengan nama stadion “Taman Prestasi”. Jalan Ahmad Yani, Sukarasa, Kota Tangerang, Banten 15111, juga ada sebuah taman bernama “Taman Prestasi” persis bukan? Di Jogja juga ada sebuah taman yang serupa bernama “Taman Pintar”.",Tempat Rekreasi,Surabaya,Jawa Timur,0,4.6,"{'lat': -7.2614722, 'lng': 112.7428284}",-7.2614722,112.7428284,"taman prestasi tempat rekreasi taman prestasi surabaya merupakan salah satu taman yang begitu terkenal di kota pahlawan dan banyak dikunjungi, sehingga tak heran jika menjadi tempat favorit bagi keluarga terutama pada saat weekend. di tempat lain juga ada loh nama stadion dan taman yang sama persis dengan yang di surabaya ini, di bontang, kaltim yang punya stadion dengan nama stadion “taman prestasi”. jalan ahmad yani, sukarasa, kota tangerang, banten 15111, juga ada sebuah taman bernama “taman prestasi” persis bukan? di jogja juga ada sebuah taman yang serupa bernama “taman pintar”. surabaya",images/surabaya/image_4
5,Monumen Kapal Selam,"Monumen Kapal Selam, atau disingkat Monkasel, adalah sebuah museum kapal selam yang terdapat di Embong Kaliasin, Genteng, Surabaya. Terletak di pusat kota, monumen ini sebenarnya merupakan kapal selam KRI Pasopati 410, salah satu armada Angkatan Laut Republik Indonesia buatan Uni Soviet tahun 1952. Kapal selam ini pernah dilibatkan dalam Pertempuran Laut Aru untuk membebaskan Irian Barat dari pendudukan Belanda.\nKapal selam ini kemudian dibawa ke darat dan dijadikan monumen untuk memperingati keberanian pahlawan Indonesia. Monkasel berada di Jalan Pemuda, tepat di sebelah Plaza Surabaya. Selain interior kapal selam, di sini juga diadakan pemutaran film tentang proses peperangan yang terjadi di Laut Aru. Jika ingin mengunjungi tempat wisata ini, maka akan ditemani oleh seorang pemandu lokal yang terdapat di sana.\nAda cerita unik di balik hadirnya monumen Kapal Selam ini. Pada suatu malam Pak Drajat Budiyanto yang merupakan mantan KKM KRI Pasopati 410 (buatan Rusia) ini dan juga mantan KKM KRI Cakra 401 (buatan Jerman Barat), bermimpi diperintahkan oleh KSAL pada waktu itu untuk membawa kapal selam ini melayari Kali Mas. Ternyata mimpi itu menjadi kenyataan. Dia ditugaskan untuk memajang kapal selam di samping Surabaya Plaza. Caranya dengan memotong kapal selam ini menjadi beberapa bagian, kemudian diangkut ke darat, dan dirangkai dan disambung kembali menjadi kapal selam yang utuh.",Sejarah dan Budaya,Surabaya,Jawa Timur,15000,4.4,"{'lat': -7.2654304, 'lng': 112.7503052}",-7.2654304,112.7503052,"monumen kapal selam sejarah dan budaya monumen kapal selam, atau disingkat monkasel, adalah sebuah museum kapal selam yang terdapat di embong kaliasin, genteng, surabaya. terletak di pusat kota, monumen ini sebenarnya merupakan kapal selam kri pasopati 410, salah satu armada angkatan laut republik indonesia buatan uni soviet tahun 1952. kapal selam ini pernah dilibatkan dalam pertempuran laut aru untuk membebaskan irian barat dari pendudukan belanda.\nkapal selam ini kemudian dibawa ke darat dan dijadikan monumen untuk memperingati keberanian pahlawan indonesia. monkasel berada di jalan pemuda, tepat di sebelah plaza surabaya. selain interior kapal selam, di sini juga diadakan pemutaran film tentang proses peperangan yang terjadi di laut aru. jika ingin mengunjungi tempat wisata ini, maka akan ditemani oleh seorang pemandu lokal yang terdapat di sana.\nada cerita unik di balik hadirnya monumen kapal selam ini. pada suatu malam pak drajat budiyanto yang merupakan mantan kkm kri pasopati 410 (buatan rusia) ini dan juga mantan kkm kri cakra 401 (buatan jerman barat), bermimpi diperintahkan oleh ksal pada waktu itu untuk membawa kapal selam ini melayari kali mas. ternyata mimpi itu menjadi kenyataan. dia ditugaskan untuk memajang kapal selam di samping surabaya plaza. caranya dengan memotong kapal selam ini menjadi beberapa bagian, kemudian diangkut ke darat, dan dirangkai dan disambung kembali menjadi kapal selam yang utuh. surabaya",images/surabaya/image_5
6,Taman Kunang-Kunang,"Taman Kunang – Kunang di Surabaya ini mempunyai luas 400 meter persegi dan Taman Kunang – Kunang di Surabaya ini diresmikan oleh walikota Surabaya, Ibu Tri Rismaharini pada hari sabtu 28 Oktober 2010. Lokasi Taman Kunang – Kunang di Surabaya ini terletak di Jalan Panjaringan Timur, Panjaringan Sari, Kecamatan Rungkut, Kota Surabaya. Taman Kunang – Kunang di Surabaya ini letaknya persis berada di antara dua bangunan rumah susun dan terdapat tulisan “Taman Kunang – Kunang,” dengan latar belakang putih. Taman Kunang – Kunang di Surabaya mempunyai banyak fasilitas publik yang cukup lengkap diantaranya adalah lapangan futsal, lapangan basket, dan area bermain untuk anak – anak. Taman Kunang – Kunang di Surabaya ini telah menjadi kawasan bermain di Surabaya untuk semua kalangan, mulai dari anak – anak, remaja, maupun dewasa. Bahkan Taman Kunang – Kunang di Surabaya ini juga tidak jarang dikunjungi oleh para lansia.",Tempat Rekreasi,Surabaya,Jawa Timur,0,4.4,"{'lat': -7.318220199999999, 'lng': 112.7842405}",-7.3182202,112.7842405,"taman kunang-kunang tempat rekreasi taman kunang – kunang di surabaya ini mempunyai luas 400 meter persegi dan taman kunang – kunang di surabaya ini diresmikan oleh walikota surabaya, ibu tri rismaharini pada hari sabtu 28 oktober 2010. lokasi taman kunang – kunang di surabaya ini terletak di jalan panjaringan timur, panjaringan sari, kecamatan rungkut, kota surabaya. taman kunang – kunang di surabaya ini letaknya persis berada di antara dua bangunan rumah susun dan terdapat tulisan “taman kunang – kunang,” dengan latar belakang putih. taman kunang – kunang di surabaya mempunyai banyak fasilitas publik yang cukup lengkap diantaranya adalah lapangan futsal, lapangan basket, dan area bermain untuk anak – anak. taman kunang – kunang di surabaya ini telah menjadi kawasan bermain di surabaya untuk semua kalangan, mulai dari anak – anak, remaja, maupun dewasa. bahkan taman kunang – kunang di surabaya ini juga tidak jarang dikunjungi oleh para lansia. surabaya",images/surabaya/image_6
7,Taman Buah Surabaya,"Wisata Taman Buah Undaan di Surabaya adalah salah satu tempat wisata yang berada di blok m suturejo utara, kabupaten surabaya, provinsi jawa timur, negara indonesia. Wisata Taman Buah Undaan di Surabaya adalah tempat wisata yang ramai dengan wisatawan pada hari biasa maupun hari liburan. Tempat ini sangat indah dan bisa memberikan sensasi yang berbeda dengan aktivitas kita sehari hari. Wisata Taman Buah Undaan di Surabaya memiliki pesona keindahan yang sangat menarik untuk dikunjungi. Sangat di sayangkan jika anda berada di kota surabaya tidak mengunjungi wisata taman yang mempunyai keindahan yang tiada duanya tersebut. Wisata Taman Buah Undaan di Surabaya sangat cocok untuk mengisi kegiatan liburan anda, apalagi saat liburan panjang seperti libur nasional, ataupun hari ibur lainnya. Keindahan Wisata Taman Buah Undaan di Surabaya ini sangatlah baik bagi anda semua yang berada di dekat atau di kejauhan untuk merapat mengunjungi tempat Wisata Taman Buah Undaan di Surabaya di kota surabaya.",Tempat Rekreasi,Surabaya,Jawa Timur,0,4.1,"{'lat': -7.266213899999999, 'lng': 112.795281}",-7.2662139,112.7952810,"taman buah surabaya tempat rekreasi wisata taman buah undaan di surabaya adalah salah satu tempat wisata yang berada di blok m suturejo utara, kabupaten surabaya, provinsi jawa timur, negara indonesia. wisata taman buah undaan di surabaya adalah tempat wisata yang ramai dengan wisatawan pada hari biasa maupun hari liburan. tempat ini sangat indah dan bisa memberikan sensasi yang berbeda dengan aktivitas kita sehari hari. wisata taman buah undaan di surabaya memiliki pesona keindahan yang sangat menarik untuk dikunjungi. sangat di sayangkan jika anda berada di kota surabaya tidak mengunjungi wisata taman yang mempunyai keindahan yang tiada duanya tersebut. wisata taman buah undaan di surabaya sangat cocok untuk mengisi kegiatan liburan anda, apalagi saat liburan panjang seperti libur nasional, ataupun hari ibur lainnya. keindahan wisata taman buah undaan di surabaya ini sangatlah baik bagi anda semua yang berada di dekat atau di kejauhan untuk merapat mengunjungi tempat wisata taman buah undaan di surabaya di kota surabaya. surabaya",images/surabaya/image_7
8,Taman Pelangi,"Kalau pelangi biasanya ada di siang hari pasca hujan, maka di Taman Pelangi Yogyakarta pengunjung justru bisa menikmatinya setiap malam hari. Ya, ini lantaran taman ini merupakan Taman Lampion beraneka warna dan rupa. Buka sejak petang, Taman ini memang sangat cocok dijadikan pilihan destinasi rekreasi keluarga saat malam hari. Namun karena merupakan taman outdoor alias terbuka, maka pilihan paling tepat untuk datang ialah saat cuaca tidak hujan.",Tempat Rekreasi,Surabaya,Jawa Timur,0,4.5,"{'lat': -7.3275604, 'lng': 112.7312242}",-7.3275604,112.7312242,"taman pelangi tempat rekreasi kalau pelangi biasanya ada di siang hari pasca hujan, maka di taman pelangi yogyakarta pengunjung justru bisa menikmatinya setiap malam hari. ya, ini lantaran taman ini merupakan taman lampion beraneka warna dan rupa. buka sejak petang, taman ini memang sangat cocok dijadikan pilihan destinasi rekreasi keluarga saat malam hari. namun karena merupakan taman outdoor alias terbuka, maka pilihan paling tepat untuk datang ialah saat cuaca tidak hujan. surabaya",images/surabaya/image_8
9,Hutan Bambu Keputih,"Surabaya menjadi kota metropolitan kedua setelah Jakarta. Kepadatan penduduk Surabaya pun cukup tinggi, dan karena terletak di pesisir, suhu kota terasa panas. Meski begitu, masih ada tempat sejuk, teduh, dan asri di tengah Kota Surabaya. Ialah Hutan Bambu Surabaya, tepatnya berada di Keputih. Mendengar nama “Hutan Bambu”, mungkin yang terlintas adalah hutan di pedesaan. Tapi jangan salah, di tengah kota pun dapat terwujud tempat asri seperti ini. Suasananya yang asri membuat pengunjung berbondong-bondong datang ke lokasi ini. Dan sekarang, taman rekreasi ini tengah menjadi favorit pengunjung menghabiskan waktu luang.",Alam,Surabaya,Jawa Timur,0,4.3,"{'lat': -7.294190899999999, 'lng': 112.8017238}",-7.2941909,112.8017238,"hutan bambu keputih alam surabaya menjadi kota metropolitan kedua setelah jakarta. kepadatan penduduk surabaya pun cukup tinggi, dan karena terletak di pesisir, suhu kota terasa panas. meski begitu, masih ada tempat sejuk, teduh, dan asri di tengah kota surabaya. ialah hutan bambu surabaya, tepatnya berada di keputih. mendengar nama “hutan bambu”, mungkin yang terlintas adalah hutan di pedesaan. tapi jangan salah, di tengah kota pun dapat terwujud tempat asri seperti ini. suasananya yang asri membuat pengunjung berbondong-bondong datang ke lokasi ini. dan sekarang, taman rekreasi ini tengah menjadi favorit pengunjung menghabiskan waktu luang. surabaya",images/surabaya/image_9
10,Taman Keputran,"Ntah, mengapa nama taman ini disebut dengan taman keputran, namun jika dikaitkan dengan lokasi taman, berada di persimpangan jalan Keputran Surabaya. Selain itu, di seberang sungai terdapat juga sebuah taman yang bernama Taman Lalu Lintas Surabaya. Keunikan Taman Keputran dibandingkan dengan taman lainnya adalah adanya lampu yang kerangka tiangnya mirip dengan manusia, dengan gaya pose yang berbeda-beda itu, membuat taman ini terlihat ada sentuhan kreatif dan inovatif. Lampu-lampu itu terang dan indah pada malam hari. Untuknya, taman ini cukup representatif sebagai pilihan mendapatkan tempat tongkrongan yang tenang pada malam hari. Tak hanya itu, jalur pijat refleksi kaki juga tersedia disana. Cocok untuk pengunjung yang ingin mencoba pengobatan refleksi kaki sederhana. Melalui pemahaman tentang jalur refleksi secara mendalam, sebagian orang memilih sarana ini dalam usaha menyembuhkan penyakit.",Tempat Rekreasi,Surabaya,Jawa Timur,0,4.3,"{'lat': -7.2732153, 'lng': 112.744102}",-7.2732153,112.7441020,"taman keputran tempat rekreasi ntah, mengapa nama taman ini disebut dengan taman keputran, namun jika dikaitkan dengan lokasi taman, berada di persimpangan jalan keputran surabaya. selain itu, di seberang sungai terdapat juga sebuah taman yang bernama taman lalu lintas surabaya. keunikan taman keputran dibandingkan dengan taman lainnya adalah adanya lampu yang kerangka tiangnya mirip dengan manusia, dengan gaya pose yang berbeda-beda itu, membuat taman ini terlihat ada sentuhan kreatif dan inovatif. lampu-lampu itu terang dan indah pada malam hari. untuknya, taman ini cukup representatif sebagai pilihan mendapatkan tempat tongkrongan yang tenang pada malam hari. tak hanya itu, jalur pijat refleksi kaki juga tersedia disana. cocok untuk pengunjung yang ingin mencoba pengobatan refleksi kaki sederhana. melalui pemahaman tentang jalur refleksi secara mendalam, sebagian orang memilih sarana ini dalam usaha menyembuhkan penyakit. surabaya",images/surabaya/image_10
