id,place_name,description,category,city,province,price,rating,coordinate,lat,long,metadata,dir
1,Bukit Jokowi,"Lokasi Bukit Jokowi tidak jauh dari jantung Kota Jayapura, Papua. Dahulu kala tempat ini disebut sebagai Bukit Skyline. Namun sejak kedatangan Presiden Joko Widodo pada tahun 2014 ke lokasi tersebut, nama bukit pun berubah menjadi Bukit Jokowi. Kala itu, Presiden RI ke-7 berkunjung ke Kota Jayapura. Dari ketinggian bukit inilah Jokowi melihat hamparan pemandangan indah dan sejumlah pembangunan infrastruktur jalan dan jembatan yang sedang dalam pembangunan. Salah satunya adalah Jembatan Holtekamp, penghubung warga di Kota Jayapura hingga ke perbatasan Papua dan Papua Nugini. Objek wisata Bukit Jokowi ini menyuguhkan latar belakang yang indah. Salah satu yang menarik adalah sebuah kayu yang dibentuk menyerupai hati, lengkap dengan kursi dan papan bertuliskan ""I Love Bukit Jokowi"". Dengan berfoto di papan tersebut, hal ini akan menandakan bahwa kamu sudah pernah mendatangi lokasi wisata ini.",Pegunungan,Jayapura,Papua,20000,4.5,"{'lat': -25.884.097,'lng': 1.406.885.197}",-25.884.097,1.406.885.197,"bukit jokowi pegunungan lokasi bukit jokowi tidak jauh dari jantung kota jayapura, papua. dahulu kala tempat ini disebut sebagai bukit skyline. namun sejak kedatangan presiden joko widodo pada tahun 2014 ke lokasi tersebut, nama bukit pun berubah menjadi bukit jokowi. kala itu, presiden ri ke-7 berkunjung ke kota jayapura. dari ketinggian bukit inilah jokowi melihat hamparan pemandangan indah dan sejumlah pembangunan infrastruktur jalan dan jembatan yang sedang dalam pembangunan. salah satunya adalah jembatan holtekamp, penghubung warga di kota jayapura hingga ke perbatasan papua dan papua nugini. objek wisata bukit jokowi ini menyuguhkan latar belakang yang indah. salah satu yang menarik adalah sebuah kayu yang dibentuk menyerupai hati, lengkap dengan kursi dan papan bertuliskan ""i love bukit jokowi"". dengan berfoto di papan tersebut, hal ini akan menandakan bahwa kamu sudah pernah mendatangi lokasi wisata ini. jayapura",images/jayapura/image_1
2,Pantai Dok 2,"Pantai Dok 2 adalah sebuah pantai yang terletak di Kota Jayapura, Papua. Pantai ini terletak di tepi Teluk Youtefa, dan merupakan salah satu tujuan wisata populer di Jayapura. Pantai Dok 2 memiliki pasir putih yang lembut dan air laut yang jernih. Ombak di pantai ini cukup tenang, sehingga cocok untuk berenang dan bermain air. Dari pantai ini, pengunjung juga dapat melihat pemandangan pelabuhan Jayapura dan Bukit Jayapura City.",Alam,Jayapura,Papua,10000,4.5,"{'lat': -25.380.875,'lng': 1.407.137.905}",-25.380.875,1.407.137.905,"pantai dok 2 alam pantai dok 2 adalah sebuah pantai yang terletak di kota jayapura, papua. pantai ini terletak di tepi teluk youtefa, dan merupakan salah satu tujuan wisata populer di jayapura. pantai dok 2 memiliki pasir putih yang lembut dan air laut yang jernih. ombak di pantai ini cukup tenang, sehingga cocok untuk berenang dan bermain air. dari pantai ini, pengunjung juga dapat melihat pemandangan pelabuhan jayapura dan bukit jayapura city. jayapura",images/jayapura/image_2
3,Pantai Pasir Dua,"Pantai Pasir 2 Jayapura adalah sebuah pantai yang terletak di Kampung Holtekamp, Distrik Muara Tami, Kota Jayapura, Papua. Pantai ini terletak di cekungan kecil mirip teluk dikelilingi bukit kecil yang dipenuhi rimbunan pepohonan. Pantai Pasir 2 memiliki hamparan pasir hitam dan putih yang unik. Ombak di pantai ini cukup tenang, sehingga cocok untuk berenang dan bermain air. Dari pantai ini, pengunjung juga dapat melihat pemandangan Pulau Mansinam dan Pulau Yosim.",Alam,Jayapura,Papua,20000,4.3,"{'lat': -25.076.123,'lng': 1.407.344.776}",-25.076.123,1.407.344.776,"pantai pasir dua alam pantai pasir 2 jayapura adalah sebuah pantai yang terletak di kampung holtekamp, distrik muara tami, kota jayapura, papua. pantai ini terletak di cekungan kecil mirip teluk dikelilingi bukit kecil yang dipenuhi rimbunan pepohonan. pantai pasir 2 memiliki hamparan pasir hitam dan putih yang unik. ombak di pantai ini cukup tenang, sehingga cocok untuk berenang dan bermain air. dari pantai ini, pengunjung juga dapat melihat pemandangan pulau mansinam dan pulau yosim. jayapura",images/jayapura/image_3
4,Jayapura City Tower,"Jayapura City Tower adalah menara pemancar televisi yang terletak di Polimak Satu, Jayapura, Papua. Menara ini memiliki tinggi 64 meter dan dibangun pada tahun 2005. Menara ini juga dikenal sebagai Bukit Jayapura City karena menawarkan pemandangan Kota Jayapura dari ketinggian. ",Sejarah dan Budaya,Jayapura,Papua,0,4.5,"{'lat': -25.499.152,'lng': 1.407.094.357}",-25.499.152,1.407.094.357,"jayapura city tower sejarah dan budaya jayapura city tower adalah menara pemancar televisi yang terletak di polimak satu, jayapura, papua. menara ini memiliki tinggi 64 meter dan dibangun pada tahun 2005. menara ini juga dikenal sebagai bukit jayapura city karena menawarkan pemandangan kota jayapura dari ketinggian.  jayapura",images/jayapura/image_4
5,Rumah Adat Port Numbay,"Rumah adat Port Numbay adalah rumah adat yang digunakan oleh masyarakat adat Port Numbay, yang merupakan salah satu suku asli di Kota Jayapura, Papua. Rumah adat ini disebut dengan nama ""sumah"" atau ""obhe warke"". Sumah Port Numbay memiliki bentuk yang unik, yaitu berbentuk segi delapan. Rumah adat ini terbuat dari kayu dan beratap daun sagu. Sumahnya memiliki dua lantai, yaitu lantai bawah dan lantai atas. Lantai bawah digunakan untuk menerima tamu, sedangkan lantai atas digunakan untuk tempat tinggal keluarga.",Sejarah dan Budaya,Jayapura,Papua,0,4,"{'lat': -25.771.593,'lng': 1.407.086.699}",-25.771.593,1.407.086.699,"rumah adat port numbay sejarah dan budaya rumah adat port numbay adalah rumah adat yang digunakan oleh masyarakat adat port numbay, yang merupakan salah satu suku asli di kota jayapura, papua. rumah adat ini disebut dengan nama ""sumah"" atau ""obhe warke"". sumah port numbay memiliki bentuk yang unik, yaitu berbentuk segi delapan. rumah adat ini terbuat dari kayu dan beratap daun sagu. sumahnya memiliki dua lantai, yaitu lantai bawah dan lantai atas. lantai bawah digunakan untuk menerima tamu, sedangkan lantai atas digunakan untuk tempat tinggal keluarga. jayapura",images/jayapura/image_5
6,Pantai Pasir 6,"Pantai Pasir 6 merupakan salah satu pantai dengan panorama keindahan yang begitu mempesona di Jayapura. Tak hanya mempesona, namun juga masih begitu alami sehingga masih terlihat begitu segar. Di dekat pantai terdapat juga sungai air tawar yang langsung mengalir ke laut, tentunya hal ini membuat wisatawan tertarik untuk mengunjunginya. Snorkeling, diving, dan berenang menjadi pilihan aktivitas yang dapat kamu lakukan selama berkunjung ke Pantai Pasir 6.
",Alam,Jayapura,Papua,10000,4.4,"{'lat': -24.877.879,'lng': 1.407.117.044}",-24.877.879,1.407.117.044,"pantai pasir 6 alam pantai pasir 6 merupakan salah satu pantai dengan panorama keindahan yang begitu mempesona di jayapura. tak hanya mempesona, namun juga masih begitu alami sehingga masih terlihat begitu segar. di dekat pantai terdapat juga sungai air tawar yang langsung mengalir ke laut, tentunya hal ini membuat wisatawan tertarik untuk mengunjunginya. snorkeling, diving, dan berenang menjadi pilihan aktivitas yang dapat kamu lakukan selama berkunjung ke pantai pasir 6.
 jayapura",images/jayapura/image_6
7,Puncak Salib Ardipura,"Puncak Salib Ardipura adalah sebuah destinasi wisata religi yang terletak di Kota Jayapura, Papua. Puncak ini terletak di atas bukit yang menawarkan pemandangan Kota Jayapura dari ketinggian. Puncak Salib Ardipura memiliki sebuah patung salib yang menjulang tinggi. Patung ini terbuat dari besi dan memiliki tinggi sekitar 25 meter. Patung ini dibangun pada tahun 2012 oleh warga setempat sebagai simbol iman dan harapan.",Sejarah dan Budaya,Jayapura,Papua,0,4.2,"{'lat': -25.474.533,'lng': 1.407.007.446}",-25.474.533,1.407.007.446,"puncak salib ardipura sejarah dan budaya puncak salib ardipura adalah sebuah destinasi wisata religi yang terletak di kota jayapura, papua. puncak ini terletak di atas bukit yang menawarkan pemandangan kota jayapura dari ketinggian. puncak salib ardipura memiliki sebuah patung salib yang menjulang tinggi. patung ini terbuat dari besi dan memiliki tinggi sekitar 25 meter. patung ini dibangun pada tahun 2012 oleh warga setempat sebagai simbol iman dan harapan. jayapura",images/jayapura/image_7
8,Bukit Gracia,"Bukit Gracia Jayapura adalah sebuah destinasi wisata alam yang terletak di Kota Jayapura, Papua. Bukit ini terletak di Distrik Muara Tami, dan menawarkan pemandangan Teluk Youtefa yang indah. Bukit Gracia memiliki ketinggian sekitar 100 meter di atas permukaan laut. Bukit ini memiliki jalur pendakian yang cukup terjal, tetapi menawarkan pemandangan yang menakjubkan.",Pegunungan,Jayapura,Papua,0,5,"{'lat': -2.571.138,'lng': 1.406.767}",-2.571.138,1.406.767,"bukit gracia pegunungan bukit gracia jayapura adalah sebuah destinasi wisata alam yang terletak di kota jayapura, papua. bukit ini terletak di distrik muara tami, dan menawarkan pemandangan teluk youtefa yang indah. bukit gracia memiliki ketinggian sekitar 100 meter di atas permukaan laut. bukit ini memiliki jalur pendakian yang cukup terjal, tetapi menawarkan pemandangan yang menakjubkan. jayapura",images/jayapura/image_8
9,Pantai Yacoba,"Pantai Yacoba terletak di Desa Tobati, Distrik Depapre, Jayapura. Pantai ini terkenal dengan hamparan pasir putihnya yang halus dan air laut yang jernih. Pengunjung dapat menikmati pemandangan laut yang indah, berenang, atau bahkan menyelam di tempat ini.",Alam,Jayapura,Papua,20000,4.5,"{'lat': -25.547.926,'lng': 1.407.180.069}",-25.547.926,1.407.180.069,"pantai yacoba alam pantai yacoba terletak di desa tobati, distrik depapre, jayapura. pantai ini terkenal dengan hamparan pasir putihnya yang halus dan air laut yang jernih. pengunjung dapat menikmati pemandangan laut yang indah, berenang, atau bahkan menyelam di tempat ini. jayapura",images/jayapura/image_9
10,Bukit Cinta Lestari,"Bukit Cinta Lestari Jayapura adalah sebuah destinasi wisata alam yang terletak di Kota Jayapura, Papua. Bukit ini terletak di Distrik Abepura, dan menawarkan pemandangan Kota Jayapura dan Pegunungan Cycloop yang indah. Bukit Cinta Lestari memiliki ketinggian sekitar 200 meter di atas permukaan laut. Bukit ini memiliki jalur pendakian yang cukup mudah, dan menawarkan pemandangan yang menakjubkan.
",Pegunungan,Jayapura,Papua,15000,4.5,"{'lat': -25.892.567,'lng': 140.691.719}",-25.892.567,140.691.719,"bukit cinta lestari pegunungan bukit cinta lestari jayapura adalah sebuah destinasi wisata alam yang terletak di kota jayapura, papua. bukit ini terletak di distrik abepura, dan menawarkan pemandangan kota jayapura dan pegunungan cycloop yang indah. bukit cinta lestari memiliki ketinggian sekitar 200 meter di atas permukaan laut. bukit ini memiliki jalur pendakian yang cukup mudah, dan menawarkan pemandangan yang menakjubkan.
 jayapura",images/jayapura/image_10
