Tahun;Provinsi Asal;Jumlah Pelaku Perjalanan
2022;Aceh;2.036.000
2022;Sumatera Utara;5.743.954
2022;Sumatera Barat;2.522.770
2022;Riau;2.538.150
2022;Jambi;1.213.959
2022;Sumatera Selatan;2.383.710
2022;Bengkulu;605.882
2022;Lampung;2.742.318
2022;Kepulauan Bangka Belitung;574.009
2022;Kepulauan Riau;314.154
2022;DKI Jakarta;9.409.383
2022;Jawa Barat;24.352.605
2022;Jawa Tengah;14.971.046
2022;DI Yogyakarta;2.650.773
2022;Jawa Timur;19.934.510
2022;Banten;8.140.541
2022;Bali;3.395.432
2022;Nusa Tenggara Barat;1.560.175
2022;Nusa Tenggara Timur;1.150.090
2022;Kalimantan Barat;954.984
2022;Kalimantan Tengah;733.576
2022;Kalimantan Selatan;1.567.908
2022;Kalimantan Timur;1.184.875
2022;Kalimantan Utara;116.169
2022;Sulawesi Utara;1.299.691
2022;Sulawesi Tengah;1.089.370
2022;Sulawesi Selatan;4.546.769
2022;Sulawesi Tenggara;1.641.320
2022;Gorontalo;493.755
2022;Sulawesi Barat;512.466
2022;Maluku;286.608
2022;Maluku Utara;399.678
2022;Papua Barat;198.686
2022;Papua;445.478
