preferences_1,preferences_2,budget
museum,,221500
kolam,,2802000
indah,,1031500
luas,hutan,140000
rekreasi,budaya,2836500
museum,,429500
jalan,,2826000
budaya,,719500
budaya,jalan,2680500
jalan,,691500
tinggi,wisata,2015000
hutan,indah,1561000
budaya,alam,2706500
alam,museum,1134500
gedung,tinggi,69000
batu,air,1275500
curug,,1263000
alam,gunung,2374000
jalan,,897500
luas,museum,1925500
kota,,2172000
kawasan,,1328000
batu,,1432500
kawasan,,2700000
alam,,1286500
budaya,,2581000
alam,budaya,2063500
luas,,604000
batu,museum,1824500
budaya,batu,2001500
batu,,2730500
kawasan,hutan,2613500
wisata,kawasan,1219000
gedung,,1055500
rekreasi,,2626500
tinggi,kawasan,850500
air,kawasan,1751000
rekreasi,,86500
curug,kawasan,1790500
seni,,2783500
hutan,,598000
seni,,1659500
gedung,,2725000
air,kolam,1269000
luas,seni,2336000
air,kawasan,2568000
hutan,kota,1904000
kawasan,,1829500
air,,525500
taman,tinggi,1296500
alam,wisata,1544000
tinggi,,2537000
batu,kawasan,622000
museum,,3035500
kota,,2841500
air,taman,2608500
museum,,2791500
rekreasi,alam,241500
tinggi,curug,1882500
batu,seni,1353000
batu,,2571500
museum,,597000
jalan,alam,755500
wisata,luas,1143000
kawasan,gunung,2031000
hutan,,1854000
gedung,,742000
gedung,,585500
seni,kolam,1516500
alam,seni,842500
alam,,1400000
tinggi,kolam,889000
batu,,1628000
kolam,air,2765500
gunung,kolam,112500
indah,,1315500
taman,tinggi,1228000
kawasan,curug,856000
gunung,alam,70000
luas,kota,1214000
curug,,3082500
gedung,kota,727000
gunung,,1582000
luas,,2912500
jalan,batu,2328500
museum,seni,1972500
gedung,curug,1279500
luas,museum,816500
alam,budaya,2532000
kolam,,2628000
kolam,,1490000
indah,,1186500
air,,610500
rekreasi,curug,395000
kota,,1857500
luas,,1985500
budaya,indah,827500
museum,,2324000
luas,,2402000
hutan,,760000
tinggi,museum,1795000
luas,tinggi,633500
museum,,1090500
wisata,kota,1353500
indah,,1347500
alam,wisata,64000
kawasan,,1791500
batu,,49000
luas,museum,1116000
batu,,518000
budaya,kota,250000
kolam,batu,2201500
gunung,,673500
seni,gedung,423000
seni,batu,1512500
hutan,,2088000
tinggi,seni,527500
alam,,1872500
wisata,,1315500
batu,hutan,1194500
tinggi,air,2645000
gunung,indah,220000
indah,batu,2215500
seni,gedung,1861000
museum,,896000
budaya,,1273500
kawasan,taman,772500
kolam,,2982000
kolam,indah,50500
hutan,curug,2091000
tinggi,,2328500
kota,,699500
rekreasi,taman,2129500
wisata,,1382500
kota,curug,1327500
jalan,seni,2126500
batu,jalan,1950500
indah,kota,642500
hutan,,2738000
seni,,1349000
taman,,9500
air,,698000
tinggi,alam,456000
curug,,571500
hutan,kota,1127000
kawasan,,2227500
luas,,805000
taman,luas,2866000
tinggi,museum,871500
seni,taman,3001000
indah,curug,793500
gedung,wisata,708000
kota,air,583500
jalan,,2904500
kota,,1866500
hutan,kawasan,561000
budaya,tinggi,1510500
hutan,,3069000
jalan,luas,2464500
kawasan,jalan,1000
batu,,2945000
curug,,1943500
kolam,,1812500
seni,,1413500
hutan,alam,474500
alam,,1510000
taman,alam,1397000
alam,hutan,1546500
rekreasi,,77000
batu,,864500
gunung,museum,1749500
curug,,3063500
gedung,kawasan,2929500
jalan,,2203500
taman,gunung,822500
kawasan,gedung,133500
budaya,,524000
indah,,934000
tinggi,,1796500
gunung,,1776000
kolam,tinggi,830000
budaya,museum,742000
kota,,2909000
kolam,luas,929000
gunung,,588500
air,,496500
gedung,,1041000
air,wisata,148000
kota,,2108500
museum,,2271000
seni,,356500
kota,,156500
batu,,855500
museum,,1029500
museum,batu,990000
taman,museum,1296000
hutan,gunung,2039000
indah,,2569000
hutan,kolam,1898500
alam,,1284500
indah,hutan,2452000
rekreasi,tinggi,1482500
seni,,181000
budaya,,762000
kawasan,rekreasi,431000
gunung,,585500
jalan,rekreasi,1433000
kolam,budaya,2170500
kota,budaya,785500
indah,alam,548000
jalan,curug,1846000
budaya,batu,2816000
