preferences_1,preferences_2,budget
hutan,,535000
wisata,,259500
pinus,main,555500
terjun,wisatawan,158000
bukit,,393500
wisata,hutan,285000
wisatawan,,295000
danau,,84500
hijau,alam,538000
pinus,gunung,89500
wisatawan,pinus,69500
kota,suasana,402000
kebun,,457000
kalimantan,raya,394500
main,taman,167500
gunung,hutan,343500
raya,,375500
hijau,gunung,506500
suasana,kebun,116000
hutan,wisatawan,282500
terjun,,76000
main,wisata,391500
wisatawan,,411500
pinus,,56000
hijau,,324500
taman,,180000
bukit,,58500
taman,gunung,503000
raya,pulau,291500
bukit,,564000
air,,565500
gunung,wisata,509500
rekreasi,kota,57500
wisata,,234000
bukit,hijau,458500
air,,332500
bukit,,352000
suasana,kalimantan,287000
air,main,532500
wisata,,199500
danau,,256000
bukit,raya,415000
bukit,rekreasi,363500
hutan,,38500
suasana,,236000
main,,51500
gunung,taman,156500
suasana,,352000
alam,main,210500
bukit,,532000
gunung,rekreasi,546500
taman,,123500
suasana,,332500
terjun,rekreasi,65000
suasana,,270000
danau,hijau,389500
kalimantan,,327000
hijau,main,460000
wisatawan,hijau,304500
pinus,kebun,304500
pulau,,45000
alam,taman,30500
hutan,,561000
hijau,,446000
air,terjun,357000
danau,,199500
terjun,rekreasi,249000
terjun,,89000
main,raya,114500
kalimantan,bukit,315000
suasana,rekreasi,326000
suasana,danau,402000
hutan,wisata,378000
main,,451500
kebun,,444000
rekreasi,,571500
kebun,pinus,333500
kota,,123500
alam,,259500
gunung,,229500
danau,,495500
pulau,taman,133500
suasana,,430500
pulau,bukit,45500
hutan,hijau,112500
gunung,,150000
danau,,197000
main,taman,468500
gunung,,264500
raya,hijau,481000
taman,air,571000
danau,,270000
kalimantan,taman,212000
gunung,air,143500
kota,main,289000
kalimantan,,313500
gunung,wisatawan,246500
hijau,,419000
gunung,,425500
air,suasana,504000
taman,,157000
wisata,hutan,411000
wisatawan,main,396000
main,,309500
rekreasi,raya,486000
danau,wisatawan,418000
main,air,204000
hijau,suasana,173000
wisatawan,danau,4500
wisata,rekreasi,406500
wisata,terjun,570500
rekreasi,,203000
hutan,raya,489000
main,,212500
gunung,,335500
bukit,,500500
rekreasi,,441500
suasana,,102500
danau,,484000
air,,21500
rekreasi,,388000
rekreasi,hijau,190000
raya,,337500
air,,366500
bukit,,178000
pulau,,39000
kebun,,125000
main,rekreasi,462500
terjun,alam,9000
raya,bukit,332000
bukit,wisata,257500
kalimantan,,339000
wisata,,128500
kebun,danau,210000
hutan,,475500
pulau,main,338500
terjun,bukit,315000
wisatawan,hutan,233500
wisatawan,kebun,390500
wisata,terjun,30500
wisata,pulau,345000
danau,main,124500
raya,kalimantan,478000
taman,kebun,472500
alam,pulau,425500
wisatawan,pinus,211500
kebun,,374000
suasana,main,306500
wisatawan,wisata,159000
suasana,terjun,412000
danau,,416500
hijau,,279500
kalimantan,,315000
bukit,,22500
suasana,,336500
terjun,,400000
raya,kebun,378000
alam,wisatawan,226500
rekreasi,kalimantan,46500
rekreasi,kota,187000
wisata,bukit,18500
pulau,,567000
wisatawan,main,494500
pulau,wisatawan,383500
kota,,23000
suasana,,408000
bukit,,43000
danau,,87000
kota,,266500
kota,,57500
kota,air,167000
raya,pinus,531000
taman,wisatawan,17500
main,,266000
main,gunung,404000
hijau,pinus,554500
main,,194500
pinus,,8500
suasana,pulau,528500
taman,,416500
hijau,pulau,23000
kebun,,341500
alam,hutan,516500
hijau,wisatawan,117000
kota,,71500
terjun,,196500
rekreasi,,456000
kota,,282500
rekreasi,,537000
wisata,kebun,508000
pinus,raya,159000
wisata,pinus,76500
pinus,,316000
kebun,,258500
air,gunung,7500
taman,bukit,283500
taman,,65500
raya,,406500
air,wisata,428500
rekreasi,,28000
hijau,,388000
rekreasi,,186500
main,,62500
main,,336000
air,,298500
wisata,main,484000
gunung,,38500
bukit,wisata,288500
kalimantan,,401500
air,,290000
kota,,179000
pulau,,503000
gunung,,454500
wisatawan,rekreasi,516000
pinus,raya,493000
pinus,raya,484000
wisatawan,,279000
danau,,556500
alam,kebun,49500
suasana,rekreasi,549000
kebun,suasana,107500
wisata,raya,446500
hutan,kota,404500
kalimantan,taman,449500
raya,,567500
air,,185500
kebun,,299000
pinus,,156500
gunung,,26000
wisatawan,pulau,228000
rekreasi,suasana,309500
danau,alam,393500
