preferences_1,preferences_2,budget
indah,pusat,131000
wisatawan,masyarakat,5000
pusat,,299000
kota,sejarah,192000
wahana,,146500
pantai,jalan,239500
pusat,sejarah,165500
laut,pasar,317000
wisatawan,,14500
taman,desa,64500
danau,wahana,31500
masyarakat,danau,19000
danau,,331500
taman,,244500
desa,wisatawan,113000
masyarakat,,181000
indah,,73500
pulau,wisata,90000
danau,indah,297500
desa,rekreasi,199500
luas,kota,208000
pusat,danau,297500
luas,,86000
pusat,,280000
desa,laut,343500
kota,jalan,53500
kota,wisatawan,258000
rekreasi,pasar,64500
rekreasi,,295500
rekreasi,pulau,211000
luas,danau,78500
sejarah,,283500
kota,,163000
wisatawan,pantai,120500
taman,,207500
pulau,,43000
air,masyarakat,5500
rekreasi,masyarakat,196000
wahana,,124000
air,masyarakat,18500
air,,175000
wahana,luas,371500
jalan,wisatawan,297500
pasar,wisata,38500
kota,sejarah,7000
wahana,indah,273000
pasar,laut,182500
pulau,masyarakat,296500
wisatawan,sejarah,308500
alam,,138000
wahana,pulau,19000
pusat,luas,66000
indah,wisata,240500
sejarah,pulau,364500
pulau,,359000
desa,pantai,246500
rekreasi,,187000
pasar,,159500
jalan,alam,284000
pusat,wisatawan,231000
desa,wahana,281500
rekreasi,jalan,252000
jalan,wisata,45500
danau,masyarakat,295000
pusat,pasar,59000
rekreasi,alam,120500
jalan,rekreasi,376000
taman,,83000
kota,air,238000
kota,rekreasi,254000
air,indah,30000
wahana,danau,244000
desa,,176500
laut,,250500
kota,,83000
taman,,138000
masyarakat,wisata,256000
kota,jalan,294500
jalan,air,170500
wisata,wahana,359000
pasar,,231500
pulau,,109000
wahana,wisatawan,196000
rekreasi,,380000
pantai,laut,347000
alam,wisatawan,304000
wisatawan,pasar,165000
kota,alam,95000
pusat,wahana,133500
wahana,,196500
danau,desa,263000
desa,,113500
masyarakat,,88000
rekreasi,,208500
wisatawan,desa,189500
indah,,349500
luas,pantai,188500
sejarah,,382000
alam,laut,256500
danau,,277500
laut,masyarakat,55000
desa,,26000
wisata,masyarakat,276000
kota,luas,222500
luas,pasar,175500
wisatawan,alam,86000
wahana,kota,76500
alam,air,186500
pasar,rekreasi,342000
kota,laut,296500
masyarakat,kota,266500
indah,,257500
pulau,rekreasi,369500
kota,masyarakat,319500
desa,,92000
wisatawan,danau,116500
wisata,wahana,191000
air,taman,200000
kota,indah,102000
luas,pusat,127000
indah,,47500
luas,desa,9500
luas,wisata,354500
sejarah,,344500
wisata,,8000
pantai,,277500
air,wisata,346500
luas,,123500
pasar,wisata,378000
wisatawan,,12500
danau,,251000
danau,,29000
pusat,,286000
danau,air,12500
jalan,,108500
taman,desa,356500
masyarakat,alam,82500
alam,jalan,318500
taman,,285500
desa,sejarah,175000
wahana,pasar,148000
rekreasi,,111500
sejarah,,318000
indah,,252500
wahana,,97000
pusat,,68000
masyarakat,,36000
desa,pusat,287500
kota,wahana,127000
wahana,,32000
pulau,kota,344000
wisatawan,,15500
taman,kota,285500
rekreasi,alam,84000
masyarakat,,64500
air,,265500
sejarah,danau,171500
jalan,pantai,36500
kota,pantai,80500
sejarah,indah,215000
alam,,191500
air,pulau,101500
air,pasar,247500
pantai,masyarakat,164000
danau,wisatawan,241500
wahana,jalan,240000
danau,,258000
indah,air,331000
sejarah,luas,220500
jalan,pulau,309500
rekreasi,,39000
taman,,53500
danau,,157500
luas,,265000
pasar,,39000
kota,,63500
masyarakat,,333000
sejarah,rekreasi,21000
air,pantai,210000
danau,,318500
pulau,pusat,317000
pantai,,251500
pusat,desa,285000
sejarah,alam,195000
kota,indah,193500
pasar,,377500
pasar,,90500
jalan,,82500
kota,,291500
danau,pulau,265000
wahana,,83500
laut,rekreasi,91500
wisatawan,,255000
wisata,wisatawan,172500
laut,luas,169500
air,,195500
pasar,,90000
masyarakat,wahana,17500
taman,wahana,96000
wisatawan,,330000
jalan,luas,275000
alam,taman,122000
jalan,,138500
laut,,333000
jalan,,209000
pulau,alam,285500
air,desa,123500
pantai,wisatawan,76500
luas,,147500
pusat,wahana,147000
pusat,,142500
indah,,367000
luas,,320500
pulau,,381000
kota,rekreasi,31000
pusat,pulau,43500
wahana,air,381000
danau,,155500
kota,wahana,211500
pantai,pasar,221500
luas,,64500
luas,,325000
taman,pulau,56500
pusat,,372000
pasar,indah,51000
pasar,,268500
taman,,81000
rekreasi,,87000
wisata,,86000
sejarah,,87500
pulau,,63500
desa,,112500
pantai,luas,268500
pantai,,88000
masyarakat,pusat,159500
wahana,pusat,51500
pulau,pasar,43000
taman,,79500
taman,jalan,375500
sejarah,,343000
pulau,pantai,159000
pantai,,75500
luas,,344000
pusat,,352000
pulau,taman,237500
luas,,30000
rekreasi,alam,237500
danau,,301500
pasar,masyarakat,203000
luas,,223000
kota,,370000
wisatawan,,351500
sejarah,,287000
sejarah,laut,361000
laut,pusat,85500
alam,pusat,234500
rekreasi,air,153000
pulau,,340000
desa,air,182500
sejarah,wahana,171500
alam,,314000
laut,,303500
wahana,,149500
pusat,,127000
pantai,wahana,54000
indah,,118500
desa,,220500
pasar,sejarah,82500
masyarakat,wahana,185000
alam,,337000
danau,,101000
pantai,,285000
taman,luas,127000
sejarah,,84500
alam,,76000
taman,rekreasi,218500
wahana,danau,216500
pantai,sejarah,226000
jalan,pulau,371500
kota,,264000
pulau,,151500
sejarah,,7500
danau,rekreasi,45500
kota,,271000
jalan,,36000
kota,air,257500
jalan,taman,229500
pasar,,67000
laut,desa,163500
pantai,,317000
jalan,wisata,146000
air,,139000
pulau,,200500
rekreasi,,55500
pusat,masyarakat,73500
taman,,93000
desa,sejarah,23000
desa,,168500
desa,pantai,374500
masyarakat,,325000
jalan,,202500
air,pusat,120000
wisatawan,,52000
pulau,,6000
wahana,,106000
pantai,wisata,102500
air,taman,150000
laut,,220500
wisatawan,,281000
desa,taman,349500
pantai,pulau,335500
wisatawan,,159000
pulau,air,201000
rekreasi,,314000
masyarakat,laut,95000
desa,pusat,238500
wisatawan,,198000
air,pasar,306500
wisata,,267500
taman,luas,343000
