preferences_1,preferences_2,budget
wisatawan,,125000
batu,,110500
selatan,pulau,552500
warga,,546000
batu,,171500
pantai,,292000
wisatawan,pura,372000
pantai,air,539500
alam,,439500
ombak,pulau,99000
indah,,476500
indah,,101500
pasir,pura,547000
laut,budaya,328000
selatan,,319500
wisata,pulau,196500
batu,,23500
air,warga,9500
kota,,460000
warga,,538000
warga,desa,290000
pantai,,467500
rekreasi,air,46500
wisata,,380500
rekreasi,warga,28500
pulau,wisata,377500
air,,185000
pulau,pasir,100000
pura,wisatawan,257500
selatan,desa,205000
pasir,selatan,405500
ombak,,236500
air,rekreasi,172000
pura,,383500
taman,batu,58500
laut,indah,240000
indah,,219000
desa,,204500
pasir,budaya,435000
rekreasi,selancar,435500
indah,,5000
alam,selatan,107500
selancar,,514500
ombak,rekreasi,279000
wisatawan,,321500
budaya,batu,185500
rekreasi,pura,562000
wisatawan,,208500
rekreasi,kota,222000
pantai,,488500
laut,wisatawan,214500
taman,alam,426000
wisatawan,,111500
selatan,,397500
wisata,pantai,387500
wisata,,15500
laut,rekreasi,296500
rekreasi,ombak,290500
laut,pasir,127000
wisata,,231500
desa,,299000
indah,,317500
pulau,,119500
wisatawan,,244500
pantai,taman,254000
desa,,167500
pura,wisata,452000
pulau,,206000
wisata,,519500
selancar,warga,578000
alam,,575500
batu,alam,310500
taman,desa,320500
budaya,,330000
wisata,,492000
wisatawan,air,431500
alam,,75500
batu,laut,51500
desa,kota,56000
warga,taman,416000
laut,,22500
pulau,,189500
wisata,batu,251000
ombak,pura,19500
wisata,indah,206500
selatan,kota,556000
wisatawan,,311000
desa,,474500
budaya,pasir,437000
kota,,441000
pura,,242000
pura,,365500
selatan,desa,225500
laut,taman,195000
pulau,,319500
pura,,342000
laut,,256500
budaya,taman,44000
air,alam,138000
wisata,,242000
pantai,,536500
rekreasi,batu,270500
taman,alam,297500
selancar,pura,39000
alam,,422000
alam,pasir,30000
alam,,320000
pantai,selatan,109000
laut,batu,12500
alam,,512000
desa,,82000
ombak,rekreasi,266000
wisatawan,rekreasi,564000
alam,selatan,488000
pulau,,516500
rekreasi,selancar,253000
batu,alam,95500
taman,,360500
laut,pulau,146000
alam,pura,305500
rekreasi,selancar,359000
wisatawan,selatan,458000
desa,,374000
indah,selatan,422000
taman,,6000
pasir,,393500
selancar,batu,113500
taman,ombak,315000
wisatawan,,130500
pantai,,245500
selancar,batu,534000
warga,,343500
selancar,desa,550000
pura,budaya,105500
selatan,taman,109500
wisatawan,selatan,101000
ombak,,72500
desa,,435000
pura,,440500
alam,,561000
selatan,,279000
air,,456000
wisatawan,batu,366500
selatan,,28000
ombak,pantai,451500
kota,alam,60000
budaya,batu,135500
laut,,403500
selancar,laut,526500
wisata,,456000
taman,,95500
rekreasi,laut,225000
pulau,,238500
indah,warga,347000
ombak,,113000
kota,,421000
ombak,indah,398500
pantai,,399500
rekreasi,,236500
pasir,wisata,481000
pantai,,117000
air,,114000
air,,98000
ombak,,79000
pasir,,479000
alam,pulau,5500
kota,desa,175000
wisatawan,,155500
wisata,,196000
wisata,,229500
air,,188500
indah,laut,335500
budaya,,106500
alam,budaya,295500
wisata,,76500
pulau,,90500
taman,alam,562500
indah,,405000
indah,,359000
pura,,97500
pantai,wisatawan,540000
selancar,pulau,356500
indah,laut,197500
pantai,rekreasi,164500
pulau,,557000
pura,,306500
pulau,,131500
wisatawan,pasir,478500
wisatawan,,153000
laut,,151500
alam,selancar,166000
indah,,145500
air,,451500
budaya,indah,366500
taman,,461500
selancar,pulau,11500
kota,wisatawan,189500
pura,warga,476500
pantai,warga,337500
wisatawan,,234000
pantai,rekreasi,539500
air,,460500
ombak,,278500
pasir,,239500
selancar,selatan,64000
taman,,337500
laut,,415500
warga,,134000
batu,wisatawan,417000
kota,,266500
rekreasi,,425500
ombak,rekreasi,353500
pulau,pantai,435000
laut,rekreasi,528000
pantai,ombak,168000
wisatawan,,192000
pura,,80000
warga,,556500
wisatawan,,355000
batu,,462000
pulau,batu,556500
indah,,405000
wisatawan,rekreasi,406000
kota,,151500
desa,,540000
taman,,69500
laut,,17500
selancar,,390000
budaya,warga,224500
laut,kota,251500
taman,,94500
air,,523500
pasir,ombak,167500
pulau,indah,10500
pura,air,166000
warga,,96500
taman,rekreasi,406500
selancar,,216500
warga,rekreasi,458500
alam,air,396500
kota,alam,240000
desa,pulau,403000
pantai,pulau,342000
pasir,,73500
laut,,268000
budaya,wisata,220000
pantai,selatan,147000
indah,,435000
kota,,40500
desa,,457000
pura,,193000
kota,,246000
batu,,353500
pantai,,407000
kota,,162500
ombak,rekreasi,274500
selancar,,47500
indah,ombak,210000
wisatawan,,163500
desa,,244500
indah,,312500
wisatawan,selancar,302500
warga,taman,18500
batu,,512500
pulau,,402500
wisata,,288000
pulau,,21500
air,,301500
kota,,128000
taman,pasir,95500
selancar,batu,278000
pura,laut,562500
rekreasi,kota,16500
pura,taman,550500
selatan,,546500
ombak,selancar,544000
air,indah,8500
alam,ombak,440000
taman,,279500
budaya,,7000
wisatawan,,348500
rekreasi,,500500
pulau,pasir,499500
selatan,,533000
rekreasi,,497500
wisatawan,,318000
pasir,indah,4500
desa,,44000
ombak,pasir,484000
air,,102000
pantai,pura,156000
pura,,266500
pura,,335000
alam,batu,492500
indah,,170500
pantai,selatan,54000
selancar,,72500
wisatawan,,165500
pulau,pura,165500
indah,,388500
desa,alam,194000
selancar,pantai,121000
laut,indah,197000
wisata,warga,320000
ombak,pasir,10500
wisatawan,taman,250000
alam,ombak,458500
air,,69000
pura,pulau,296500
selancar,wisatawan,67000
selancar,,380000
wisatawan,warga,564500
pantai,alam,382000
pasir,,536500
pantai,,347000
alam,batu,375500
warga,,447500
taman,batu,2500
laut,pantai,432000
rekreasi,,345500
alam,,313000
alam,wisata,186500
pulau,indah,457500
warga,pasir,248500
pulau,taman,161000
rekreasi,pulau,558000
ombak,laut,102000
alam,batu,255000
indah,ombak,549500
selatan,,312500
taman,pura,98000
selancar,,310000
pulau,,557000
budaya,ombak,506000
kota,,184000
rekreasi,pulau,534000
pasir,laut,563000
batu,pulau,469500
air,batu,508500
warga,pura,351000
batu,,369500
pasir,,201000
indah,pura,37000
pasir,,184500
desa,,112000
laut,alam,235000
taman,budaya,69000
wisata,,572500
taman,wisatawan,472500
batu,,577500
kota,,148000
pasir,pulau,367000
air,,116500
pura,selancar,412000
kota,,516000
ombak,batu,73500
rekreasi,,241500
warga,pulau,97500
rekreasi,pulau,306000
wisatawan,laut,142000
batu,warga,416000
batu,,43000
selancar,wisata,143000
budaya,,492000
warga,,87500
air,,383000
pasir,,55500
alam,desa,75000
indah,rekreasi,495500
air,rekreasi,377500
rekreasi,laut,554000
taman,,362000
selancar,pasir,576000
wisatawan,,209500
wisatawan,air,352000
alam,,137000
batu,kota,487500
rekreasi,batu,226000
warga,,378500
kota,,330500
kota,selancar,162000
wisatawan,,529000
pantai,rekreasi,273500
taman,,41500
wisatawan,,484500
selatan,,479000
kota,,547000
desa,pasir,134500
wisata,pantai,278000
air,,458000
ombak,,378000
taman,air,83000
selancar,air,551000
pulau,wisata,72500
pulau,kota,126000
rekreasi,kota,104000
indah,pura,176000
ombak,budaya,222500
laut,rekreasi,163500
ombak,pura,323500
selancar,,47500
laut,rekreasi,230500
batu,desa,573500
ombak,,278500
pasir,pantai,26500
air,,466000
laut,,574000
selatan,pulau,26000
pantai,,489000
wisata,,274000
selancar,,132000
pulau,,11000
laut,budaya,119000
wisatawan,,555500
pasir,,86500
batu,alam,337000
air,,354000
taman,,311500
pasir,,508500
indah,,439500
indah,,464500
rekreasi,,240000
wisatawan,,74500
indah,kota,488000
pasir,,173500
wisata,budaya,180000
selancar,,520000
wisatawan,,500
ombak,alam,116000
air,,401000
ombak,warga,162500
pasir,pulau,501500
pura,,500500
indah,,282000
pasir,,551500
air,,366000
batu,,508000
ombak,budaya,350500
selatan,pasir,311000
rekreasi,,362000
rekreasi,,480500
pulau,pantai,542000
warga,,150000
air,,295500
pulau,kota,351500
rekreasi,selancar,397000
batu,pulau,329000
pulau,,155500
pulau,taman,383500
wisatawan,pulau,29500
pura,,485000
ombak,budaya,240000
indah,air,68500
warga,selancar,429500
ombak,,306500
air,pasir,346500
budaya,,374500
ombak,,29500
pulau,,196000
pantai,,386500
batu,,236000
ombak,,412500
desa,,510000
wisatawan,,303500
pantai,,538500
budaya,air,361000
warga,,535000
desa,,136000
pura,indah,549500
selatan,taman,109000
pasir,indah,450000
selatan,kota,432500
batu,,472000
air,,157500
taman,warga,566500
alam,,210500
selatan,wisata,287500
indah,taman,550000
indah,,263000
wisatawan,,38500
rekreasi,pasir,103000
wisata,warga,418500
pasir,,87500
kota,,414500
alam,,378500
taman,pulau,83500
pantai,,176000
pasir,wisata,545500
wisatawan,batu,3000
laut,rekreasi,73000
wisatawan,,511000
taman,selancar,269000
budaya,,383500
laut,,459000
air,,301500
warga,,245000
selancar,,406000
pulau,air,21500
alam,wisatawan,331000
air,selancar,529000
kota,rekreasi,186500
batu,,404500
pura,,313000
pulau,taman,154500
pura,,280500
air,selatan,231500
ombak,batu,513500
kota,selatan,188500
wisata,,416000
selatan,rekreasi,367000
laut,,152500
warga,pantai,207500
taman,,336500
rekreasi,budaya,454000
budaya,,546000
wisatawan,,147000
warga,budaya,500000
selatan,pulau,111500
air,selancar,486000
warga,rekreasi,84000
indah,,431000
selancar,alam,384000
selatan,rekreasi,476000
laut,,7500
air,,1500
taman,,162500
pura,,482000
pura,rekreasi,272500
warga,,352500
warga,,268000
desa,,24000
alam,,175500
alam,air,420000
wisata,,190500
rekreasi,,390000
desa,,249000
laut,,2500
pura,taman,165000
laut,,295500
pasir,kota,547000
selancar,rekreasi,454500
budaya,,236500
kota,,375000
wisatawan,,275000
kota,pura,346000
pulau,wisatawan,149500
pasir,pura,359000
budaya,pura,556500
alam,pantai,563000
rekreasi,,15500
alam,,562000
selancar,,420000
taman,wisata,311500
batu,,445000
pantai,,499500
warga,,562000
budaya,wisatawan,256500
air,pulau,57000
taman,budaya,84500
selancar,,210000
selancar,,393000
kota,,221500
selancar,pura,279000
indah,taman,307500
pulau,,151000
wisatawan,budaya,220500
pura,warga,488000
batu,taman,564000
rekreasi,kota,369500
batu,,485000
selancar,indah,142500
rekreasi,,402000
budaya,,373500
taman,budaya,354500
wisatawan,selancar,560500
taman,,132500
selancar,,410000
pantai,,535000
batu,alam,375000
taman,pulau,526000
budaya,indah,8000
ombak,,83500
selatan,wisata,145000
laut,,246000
taman,,177500
laut,indah,358000
batu,kota,342000
selatan,laut,105500
ombak,pasir,418500
desa,wisatawan,166000
indah,batu,108000
pantai,wisatawan,72500
indah,,575500
batu,pasir,447000
indah,kota,436500
pasir,,260000
selatan,laut,438500
ombak,,108000
