preferences_1,preferences_2,budget
pasar,,2708000
nasional,,2174500
museum,,892000
pasar,,729500
budaya,,3245500
jalan,,2751000
monumen,,512000
seni,wisata,1271500
museum,,3421500
kota,wisata,469500
monumen,kota,298500
alam,,834500
sejarah,,1169000
pusat,pusat,1751500
pulau,,3216500
rekreasi,,103000
rumah,,1170000
wisata,budaya,2085000
seni,,2267000
pulau,,2398000
rumah,pusat,752500
masjid,alam,2444500
luas,,2363000
wisata,museum,2067500
kawasan,rekreasi,1127500
museum,kota,1492000
rumah,seni,712500
alam,museum,2613500
budaya,seni,1441500
sejarah,seni,572000
rumah,museum,1346000
taman,,2745000
monumen,rumah,1583000
budaya,,2023500
kota,museum,2111500
pusat,,1210500
budaya,,152000
seni,monumen,2907000
wisata,pulau,673500
museum,seni,1453500
taman,sejarah,2218000
rumah,pusat,158000
rumah,pusat,2821500
nasional,,2760000
jalan,museum,3492000
kota,,3178500
masjid,,1242500
museum,seni,756000
pulau,pasar,1745500
alam,budaya,1624500
sejarah,,3774500
seni,,256500
pusat,sejarah,3036000
pasar,,124000
pusat,rumah,349500
pasar,kawasan,845000
nasional,pusat,2400000
pusat,,713000
budaya,pasar,2087500
pasar,museum,3743000
alam,rumah,1952000
pusat,wisata,1953500
pusat,sejarah,1863000
pusat,,3370000
seni,kawasan,3129500
rumah,,1043000
sejarah,,2585500
rumah,pusat,2689000
jalan,wisata,3773000
rumah,sejarah,1355500
seni,pusat,2531500
jalan,,1294500
museum,,1824000
kawasan,wisata,1955000
kawasan,masjid,71000
nasional,seni,3656500
seni,,1084500
nasional,monumen,675000
alam,,504000
rumah,,3687500
taman,pasar,2743000
pusat,,2648500
pusat,,2185000
museum,,2629000
taman,,2333000
luas,,3092000
pasar,,3178000
monumen,wisata,696500
jalan,monumen,3628500
sejarah,kota,1145000
pulau,taman,1285000
jalan,,3536000
kawasan,taman,3733000
masjid,,3039000
wisata,seni,1888000
pusat,,3599500
museum,kota,2082500
museum,kawasan,2366500
monumen,,3663000
seni,,3322500
seni,,2074000
pusat,,1623500
seni,,1554500
rekreasi,,846500
budaya,,1928500
wisata,kawasan,2187500
nasional,,3495000
monumen,seni,3146000
jalan,,1057000
alam,,3400000
pusat,,2174500
alam,pasar,2677000
pusat,,1776000
wisata,,1032500
rumah,sejarah,1504500
pusat,sejarah,3146000
rumah,,2446500
rumah,pusat,157000
sejarah,,1323000
alam,kota,1411500
pulau,,1283500
museum,,3548000
nasional,monumen,3070500
luas,,1725000
pasar,,2457500
jalan,,707500
jalan,sejarah,44000
monumen,pusat,219000
jalan,budaya,2445500
pulau,,3714500
pusat,,3759500
wisata,kota,1053500
masjid,,2487500
luas,,3780000
kawasan,,2361500
alam,rekreasi,1009500
luas,,2219000
kota,nasional,3670000
jalan,pusat,2287000
masjid,,770500
nasional,luas,1951000
monumen,,479000
nasional,,1800000
seni,,940500
budaya,,2160000
wisata,,3466000
pulau,,1865500
taman,kota,1122500
seni,,1480000
kawasan,pusat,2379000
rumah,,728500
seni,kota,3661000
wisata,pusat,957000
pusat,,1122000
wisata,,3261000
nasional,pulau,710500
seni,kota,3313000
pusat,pulau,929000
rekreasi,budaya,619500
nasional,,1709000
pusat,,3575000
pasar,,3196500
rekreasi,budaya,1182500
wisata,,232500
monumen,,2488000
jalan,pulau,690000
taman,wisata,1440500
luas,pasar,1853500
monumen,pasar,1641000
taman,,3479000
pasar,budaya,1858500
pusat,,2470000
rumah,monumen,3619500
pusat,rumah,3601500
kota,budaya,1974000
jalan,wisata,3066500
monumen,kawasan,3218000
seni,,3086500
rekreasi,,2034000
taman,,2249000
kota,kawasan,1861000
pusat,pasar,649500
taman,pusat,3390000
seni,nasional,2728000
monumen,,1177000
taman,,2982500
pasar,,2268500
luas,kawasan,917000
wisata,pusat,3727000
rekreasi,pusat,2955500
rumah,,981000
pasar,luas,2512500
jalan,,112000
jalan,rekreasi,895000
rekreasi,nasional,3026000
alam,sejarah,3133000
kota,budaya,2566000
pasar,,1530500
nasional,wisata,470000
rumah,,1458000
kawasan,,1287000
taman,,110000
wisata,,1374500
seni,taman,1815500
museum,,1263000
sejarah,,1912500
sejarah,,2506500
kawasan,luas,2040500
wisata,,1576500
pasar,,596000
alam,budaya,489500
taman,,1302500
nasional,,2178500
taman,nasional,1859500
masjid,jalan,481000
masjid,taman,1755500
taman,budaya,1569000
rekreasi,,2979000
wisata,budaya,136500
sejarah,,1587500
seni,rekreasi,2599000
rumah,,1313500
luas,nasional,2800500
pasar,kota,3373500
kawasan,rumah,485500
luas,,3486500
pasar,budaya,815000
monumen,jalan,2300000
monumen,,591500
taman,kawasan,2615000
jalan,sejarah,419000
seni,,3152500
sejarah,kota,1284500
sejarah,,3368500
taman,,3009500
kawasan,masjid,1399000
museum,pusat,300500
nasional,,1583000
luas,kota,113500
rumah,alam,2820000
monumen,rekreasi,354000
seni,museum,3206500
masjid,,2389500
pulau,,1494500
museum,pusat,2796500
alam,,362000
pulau,luas,3400500
rumah,monumen,610500
pusat,monumen,2434000
pusat,,280000
luas,,629000
rekreasi,,797500
nasional,kota,1855500
budaya,,1534500
museum,,891000
wisata,masjid,1857500
seni,kawasan,3375000
kota,kawasan,1751500
taman,alam,1527000
sejarah,,1613500
museum,,3457000
pasar,,1316500
pulau,,1256500
taman,luas,2878000
museum,alam,2309500
rekreasi,,3520500
sejarah,,1994000
taman,kota,3038500
nasional,,210500
monumen,,834000
pusat,,1013000
masjid,kota,2585000
monumen,luas,2352500
jalan,,2993500
luas,,2059000
alam,monumen,2776500
budaya,masjid,3409500
pasar,,486500
pulau,nasional,620000
alam,,923000
kota,,848000
masjid,luas,865000
rekreasi,,3440500
masjid,sejarah,3629000
kota,masjid,3201500
pasar,,3377500
kawasan,,1770000
pulau,nasional,2943000
budaya,seni,2551000
alam,luas,3714000
kota,wisata,1120500
nasional,,3674000
kawasan,,235500
monumen,sejarah,1109000
masjid,,1738000
wisata,,1777000
taman,,2390000
alam,masjid,2897500
kawasan,,2209500
pulau,pusat,173500
jalan,,2484000
museum,masjid,2571500
pusat,,717500
taman,jalan,1075000
sejarah,,2372000
museum,jalan,1644000
nasional,pusat,142000
kawasan,sejarah,1669500
jalan,,2922000
kota,,1206500
pusat,pusat,555000
