preferences_1,preferences_2,budget
danau,,29000
teluk,pantai,334500
main,,255500
destinasi,air,276500
kota,alam,141500
teluk,,295500
indah,pasir,359000
kota,,63500
destinasi,main,303500
indah,destinasi,213000
gunung,,205500
destinasi,pasir,245000
adat,gunung,99000
gunung,pantai,275500
destinasi,alam,133500
kota,gunung,305500
tanjung,kota,140500
pasir,,238000
pantai,gunung,290500
telaga,,125500
bukit,,272500
indah,teluk,227000
wisata,telaga,330500
destinasi,tanjung,347500
adat,,55000
main,,337000
pantai,laut,54000
telaga,danau,221000
pantai,kota,152000
tanjung,,221500
destinasi,adat,198000
danau,,270500
kota,pandang,122000
telaga,adat,202000
gunung,wisata,360500
pasir,,34000
indah,telaga,53000
wisata,,264500
indah,main,348500
pandang,,316500
pandang,,2000
pantai,,153000
telaga,pasir,249500
indah,air,266500
alam,bukit,275500
laut,tanjung,244000
laut,danau,122500
pantai,pandang,258500
destinasi,,245000
laut,,307000
alam,,209000
pandang,,317000
alam,kota,215000
laut,,177500
alam,adat,186500
pandang,,196500
teluk,kampung,352500
danau,,41500
tanjung,,107000
telaga,,143500
indah,teluk,208500
main,destinasi,337000
teluk,,113500
pantai,,104500
gunung,,30000
pantai,air,185500
kota,,338500
indah,,283500
laut,,34000
kota,,189500
telaga,,278500
air,,294000
wisata,bukit,284000
gunung,,306000
air,bukit,85000
gunung,destinasi,17000
wisata,,73500
laut,main,227000
kampung,,15000
tanjung,,362000
pandang,,307500
indah,main,339500
distrik,,319000
alam,,151000
indah,air,217500
alam,,240500
distrik,laut,160500
laut,,142500
distrik,,192000
adat,air,78000
danau,,43500
gunung,air,327500
laut,,263500
destinasi,indah,48500
destinasi,,338000
wisata,pantai,110000
indah,kota,51000
kota,,284000
tanjung,telaga,96000
destinasi,pasir,268000
adat,,230500
wisata,gunung,340500
teluk,alam,146500
teluk,adat,144500
pasir,,32500
main,,102500
tanjung,,267000
telaga,destinasi,350500
teluk,air,198000
destinasi,danau,107500
gunung,indah,21500
pantai,,123500
destinasi,,185500
gunung,danau,329000
indah,,295500
laut,kota,218500
destinasi,danau,124500
air,,286000
tanjung,pandang,196000
teluk,laut,175000
adat,telaga,58000
bukit,,24000
adat,,216500
wisata,main,20500
destinasi,pantai,26000
distrik,pasir,205500
laut,,16500
laut,danau,191000
destinasi,,44500
main,gunung,216000
teluk,indah,180500
distrik,danau,133500
main,pandang,194500
laut,,83000
indah,alam,29000
kampung,,133500
kota,,48500
destinasi,,360000
distrik,,184500
wisata,,200000
gunung,teluk,163000
wisata,pasir,247500
main,,138500
gunung,destinasi,105000
wisata,kota,324500
pantai,,224500
pantai,,277000
teluk,,98500
pantai,kota,172000
laut,pantai,299000
main,tanjung,104500
laut,tanjung,231500
adat,alam,186500
pasir,,347500
air,,157000
wisata,,176000
air,telaga,302500
gunung,pantai,297000
kampung,,217500
laut,,261000
pasir,,113500
adat,telaga,358000
adat,main,247500
distrik,kampung,232000
air,,6500
kampung,pasir,188500
gunung,teluk,321500
pasir,adat,318000
pantai,main,4000
air,,186000
indah,,364500
kota,,226000
teluk,pasir,72500
kota,alam,183000
tanjung,kampung,97500
wisata,,235000
bukit,main,156500
kota,,72500
danau,pandang,230500
main,alam,236500
adat,laut,353500
laut,,197500
air,,235000
pasir,main,67000
danau,bukit,259500
kota,bukit,275000
kampung,distrik,189000
air,,83000
gunung,,165500
bukit,pantai,38000
telaga,,347000
wisata,tanjung,62000
bukit,,358000
pasir,telaga,50000
danau,,111500
danau,,264000
main,kota,92000
tanjung,,50000
adat,,194000
wisata,air,128000
gunung,adat,201000
gunung,,175500
air,adat,310500
adat,pantai,337500
pandang,bukit,180000
bukit,,110000
indah,telaga,236500
kampung,,217500
wisata,indah,162500
pasir,,11000
danau,distrik,229500
laut,gunung,82000
tanjung,kota,236500
danau,wisata,23500
pasir,,211000
wisata,alam,82000
pasir,,335000
pantai,,226500
kota,,13500
tanjung,,326500
pandang,,197000
air,,272500
bukit,,110500
pantai,,53000
pandang,danau,73500
teluk,,133500
laut,,69500
pasir,telaga,311500
teluk,pandang,276500
distrik,destinasi,293000
gunung,pasir,101500
kota,,206500
main,pandang,46500
distrik,laut,309500
wisata,air,262500
teluk,laut,316000
indah,gunung,239000
bukit,danau,311500
laut,,353500
kampung,pantai,24500
bukit,teluk,308500
kampung,,27500
laut,,321000
kota,indah,200500
pandang,main,33000
tanjung,,197000
pasir,,322500
gunung,,264000
destinasi,,71500
teluk,,248000
wisata,,331500
teluk,,119000
kota,distrik,15500
teluk,,4000
bukit,,169500
telaga,pandang,215000
indah,,310500
gunung,pandang,316500
pandang,,327500
telaga,,60500
pasir,,193000
pandang,,210500
air,,241500
pasir,,206000
danau,air,100500
laut,,362500
pasir,,34500
gunung,teluk,147000
telaga,tanjung,247000
pandang,danau,311000
kota,bukit,224500
wisata,,193000
main,,195500
pandang,,167000
danau,kampung,358000
tanjung,,152500
pasir,gunung,219500
adat,indah,153000
telaga,kampung,135500
main,alam,347000
air,,102000
adat,bukit,292500
indah,kota,352000
teluk,,219500
wisata,,11500
indah,wisata,186500
pasir,,117500
air,adat,315500
wisata,adat,317000
gunung,,195000
alam,air,337500
wisata,air,73000
wisata,telaga,76500
tanjung,main,39000
kota,,180500
pantai,,10500
destinasi,telaga,73000
adat,,62500
bukit,pantai,140000
laut,,208000
telaga,,284000
pasir,kampung,270000
distrik,,37500
pandang,telaga,110000
teluk,,247500
laut,alam,231000
bukit,laut,218000
indah,,48500
bukit,air,331000
distrik,,212000
alam,,169500
gunung,,317000
pantai,telaga,136000
danau,teluk,337500
wisata,,151500
gunung,,91000
bukit,main,107500
pasir,alam,299500
air,destinasi,230000
bukit,,246000
pasir,gunung,170500
teluk,,352500
main,pasir,246000
kampung,bukit,143500
wisata,,88500
alam,teluk,143000
alam,destinasi,273500
pantai,kota,182500
adat,kota,349500
pandang,kota,331500
destinasi,,57500
pandang,telaga,365000
laut,danau,247000
alam,,78000
pandang,air,500
laut,,250000
danau,,19500
destinasi,,97500
distrik,,352500
danau,,195000
kota,adat,332500
bukit,air,264500
indah,,264000
indah,,214000
adat,,263500
main,,114500
kampung,kota,314500
adat,,296000
danau,adat,360500
alam,laut,297000
