preferences_1,preferences_2,budget
teluk,gunung,554500
indah,terjun,1083000
pulau,,1455500
budaya,,318500
wisata,pulau,1109000
desa,sejarah,20500
pasir,wisata,865500
indah,budaya,5000
indah,,307000
danau,,1232500
pasir,destinasi,876500
sejarah,pasir,332500
sejarah,,593000
danau,,91000
laut,air,566000
gunung,wisata,110500
destinasi,,46000
terjun,gunung,181000
laut,indah,415500
pantai,pulau,1028500
pantai,,493000
indah,,300000
tebing,pantai,1196500
tebing,benteng,1237500
benteng,teluk,720000
laut,benteng,1117000
pulau,gunung,1247000
alam,destinasi,673000
terjun,,921500
tebing,,1017500
danau,,772500
laut,budaya,1410000
pantai,,448000
tebing,,416500
terjun,,420500
pasir,,66000
danau,,446500
pasir,wisata,35500
benteng,pulau,1031000
indah,danau,1193500
indah,,1377000
teluk,,487500
laut,budaya,780500
terjun,,664000
alam,,204500
wisata,,1327500
destinasi,,886500
air,,468000
pantai,,585500
benteng,tebing,1064500
benteng,pasir,124000
laut,wisata,104000
sejarah,laut,849500
wisata,,566500
desa,,776000
laut,,72000
terjun,,1368000
wisata,indah,1273500
tebing,,99000
indah,pulau,1356500
terjun,,73500
pasir,tebing,1346000
sejarah,terjun,549500
kota,wisata,762000
desa,pasir,651000
indah,air,991000
sejarah,,1311000
budaya,,290000
destinasi,laut,1085500
danau,laut,46500
terjun,,90000
sejarah,,168500
danau,desa,977000
pantai,,773000
kota,,1327000
teluk,laut,610500
teluk,terjun,1192000
terjun,gunung,1322000
indah,teluk,1091000
laut,,1272500
kota,indah,1216500
air,terjun,331500
pantai,kota,1428000
tebing,,1024000
teluk,air,1007000
desa,terjun,51500
wisata,terjun,251000
teluk,,1419000
pulau,,790000
danau,,112500
pasir,,675500
budaya,terjun,200000
laut,pasir,734000
danau,benteng,1265000
air,sejarah,21000
laut,,104500
teluk,,140500
danau,destinasi,1392500
benteng,desa,143500
pantai,,1374500
gunung,,455000
budaya,desa,1002500
pasir,indah,484000
pasir,,337500
pulau,,1019000
terjun,wisata,159500
teluk,terjun,1156000
pasir,tebing,1337500
pulau,terjun,1336000
alam,pulau,1051000
budaya,kota,1283500
gunung,laut,509000
benteng,indah,113500
alam,,874000
destinasi,,776500
indah,,1415500
budaya,,421000
wisata,,1127000
alam,gunung,826500
indah,,28000
destinasi,,1315500
teluk,wisata,678000
destinasi,indah,660000
gunung,desa,713500
tebing,danau,1500
air,,958000
gunung,,141500
gunung,tebing,265500
danau,,809500
pantai,,1278500
destinasi,desa,50000
pantai,pulau,708000
benteng,budaya,62000
pantai,air,1067000
