preferences_1,preferences_2,budget
jembatan,,46500
fasilitas,jembatan,283500
fasilitas,patung,308500
sejarah,,316000
taman,,38500
fasilitas,,80000
rekreasi,,342500
masjid,,376000
pantai,,204500
waterpark,laut,74000
museum,,289500
laut,,116500
museum,wisata,16500
fasilitas,sejarah,222500
museum,,329000
patung,,327500
museum,,78000
museum,,253500
budaya,kapal,169000
waterpark,,359000
pantai,,282500
kebun,keluarga,437500
waterpark,museum,2000
kota,masjid,312000
kapal,sejarah,415500
jembatan,,39500
fasilitas,wisata,346000
jalan,monumen,21000
waterpark,air,220500
sejarah,,293500
kebun,,196500
monumen,,180000
wisata,,399500
kota,,261000
taman,,334500
pantai,taman,55500
monumen,,308500
keluarga,wisata,58000
waterpark,air,456500
pantai,,22000
waterpark,rekreasi,399000
kebun,masjid,2000
masjid,,280500
budaya,,249000
waterpark,masjid,29500
jembatan,fasilitas,408000
jalan,,375000
laut,kebun,137000
kebun,jalan,193500
patung,sejarah,255500
museum,,425000
rekreasi,,316000
museum,masjid,426000
jembatan,kota,153500
sejarah,pantai,309500
museum,,389000
fasilitas,budaya,217000
jembatan,kebun,319000
taman,laut,273000
waterpark,kota,444500
patung,,337500
pantai,,149000
kapal,,85500
budaya,,454500
masjid,kapal,235000
waterpark,,366500
kota,museum,353000
monumen,waterpark,190500
wisata,waterpark,403000
taman,,351500
budaya,,10500
jalan,,335500
monumen,air,134000
kapal,,88500
budaya,,311000
masjid,,298000
rekreasi,kebun,7500
kapal,masjid,59000
laut,,217500
keluarga,rekreasi,196500
rekreasi,museum,242000
jembatan,,241500
waterpark,jalan,286000
waterpark,budaya,412000
patung,,35000
air,,456000
kota,rekreasi,251500
monumen,kebun,243500
masjid,wisata,23000
air,budaya,166000
jalan,,419500
budaya,fasilitas,209500
laut,,125000
museum,,325000
kebun,sejarah,137000
taman,budaya,425500
patung,,7500
jembatan,,464000
waterpark,,107000
jembatan,sejarah,336500
kota,,224000
masjid,sejarah,235000
jembatan,kebun,382000
museum,,278000
jembatan,,50500
rekreasi,,185500
patung,,97000
air,,191000
kebun,,323000
budaya,,194000
wisata,,54000
kota,,165500
rekreasi,,21000
budaya,,288000
pantai,,252500
rekreasi,air,241000
fasilitas,,270500
monumen,,90500
pantai,,90000
air,,462500
monumen,budaya,30500
laut,,366500
wisata,,348000
laut,,346500
masjid,,34500
budaya,,320500
patung,,74000
kota,,211500
masjid,,199500
budaya,air,208500
laut,budaya,304000
fasilitas,,287000
kapal,,19500
kebun,,76500
waterpark,,233000
masjid,wisata,151500
kapal,,176000
museum,budaya,203500
rekreasi,museum,416000
wisata,,334000
kapal,,96500
taman,,153500
keluarga,,87000
air,jembatan,347500
fasilitas,,173000
waterpark,,185000
sejarah,budaya,368000
air,keluarga,92500
pantai,,212000
masjid,pantai,102500
wisata,,367500
air,,366500
laut,,272500
kebun,sejarah,199500
monumen,,65000
rekreasi,,11000
patung,,365500
rekreasi,,299000
laut,masjid,124500
rekreasi,kebun,390500
jalan,museum,316000
museum,,461000
jalan,kota,123000
kota,patung,297500
museum,,74000
budaya,,122500
jembatan,budaya,167000
fasilitas,patung,228500
budaya,pantai,283000
pantai,,243000
fasilitas,taman,384000
jembatan,museum,24500
air,waterpark,321000
kota,air,187500
patung,waterpark,83000
laut,,115000
monumen,sejarah,102000
jalan,,467000
taman,,132500
laut,,325500
museum,taman,384500
kebun,sejarah,402000
laut,,233000
waterpark,,0
wisata,,199000
waterpark,air,412500
budaya,,325000
jalan,masjid,181000
fasilitas,,382000
museum,kapal,365000
jembatan,sejarah,106500
keluarga,,235000
taman,kota,435500
jalan,sejarah,272000
fasilitas,,329000
fasilitas,,500
kebun,rekreasi,99000
taman,museum,126500
budaya,,266000
monumen,,393000
kapal,taman,302000
laut,,305000
masjid,kota,323500
jembatan,,318500
masjid,kebun,58500
pantai,air,460500
keluarga,kota,419000
masjid,rekreasi,159000
patung,,354000
keluarga,laut,404000
jembatan,,190500
fasilitas,masjid,428500
jalan,jembatan,278000
air,,467000
fasilitas,,268500
taman,,68000
kota,,30500
sejarah,keluarga,12500
fasilitas,monumen,309500
taman,pantai,64500
monumen,patung,379500
monumen,fasilitas,268500
sejarah,wisata,286500
air,,289000
kota,sejarah,178000
taman,,319500
patung,pantai,235500
jalan,,449000
fasilitas,taman,164000
monumen,,25500
kapal,wisata,48000
pantai,air,298500
jalan,fasilitas,431000
pantai,,153000
taman,,393500
pantai,fasilitas,377000
kapal,,261000
museum,,368500
sejarah,budaya,260500
monumen,,67500
pantai,,167500
air,,442500
laut,kota,202000
keluarga,,448500
taman,air,321000
kebun,jembatan,302000
fasilitas,,236000
jembatan,kebun,84000
masjid,waterpark,164000
pantai,sejarah,123000
taman,kota,118500
air,pantai,276500
masjid,,301000
waterpark,museum,49000
waterpark,patung,82000
kapal,,113000
waterpark,,95000
kapal,,426000
kapal,,146000
kebun,,105000
taman,,33500
wisata,,192000
jalan,,246500
monumen,laut,432000
rekreasi,taman,246500
jembatan,pantai,158500
pantai,,408500
jalan,,94000
monumen,,240500
fasilitas,,243000
budaya,,414000
kota,,151500
museum,kebun,455500
fasilitas,kapal,403000
air,,337000
air,monumen,107500
monumen,,279500
taman,,49500
taman,waterpark,15500
laut,budaya,397000
rekreasi,waterpark,343500
jalan,fasilitas,48000
rekreasi,keluarga,237500
jembatan,,76500
kapal,,429500
museum,rekreasi,52500
jalan,,176000
monumen,taman,194500
monumen,,288000
rekreasi,pantai,127500
monumen,rekreasi,361500
laut,,215500
patung,kota,105000
masjid,,295000
waterpark,,71000
taman,kebun,418000
masjid,,21500
keluarga,,151500
monumen,kapal,236500
patung,taman,437500
keluarga,pantai,123500
pantai,,51000
air,,444500
jalan,kebun,402500
taman,air,80500
kapal,,183000
taman,wisata,305500
laut,waterpark,40500
sejarah,,343000
waterpark,,264500
pantai,,225500
waterpark,,36500
pantai,,337500
monumen,,413000
patung,kapal,415500
sejarah,waterpark,136000
laut,,414500
sejarah,kebun,406500
budaya,jembatan,225500
air,,172000
museum,,209000
kota,laut,298000
jembatan,masjid,45000
kapal,patung,331000
masjid,,300500
patung,,395500
wisata,,366000
budaya,sejarah,437500
masjid,,185500
sejarah,rekreasi,452500
kota,,193000
monumen,,398000
jalan,laut,46000
laut,keluarga,438500
keluarga,wisata,342500
pantai,rekreasi,154000
masjid,,466000
jalan,patung,294500
kebun,,432500
air,,142500
pantai,,159500
keluarga,waterpark,456000
rekreasi,taman,360500
masjid,,409000
masjid,,301500
jalan,,58000
sejarah,laut,55000
pantai,kota,464500
budaya,wisata,435500
kebun,air,160500
museum,,155500
budaya,patung,37000
monumen,kebun,300000
kapal,fasilitas,188500
keluarga,pantai,77000
sejarah,,26000
kapal,jembatan,220000
sejarah,air,92000
air,,87000
laut,rekreasi,355000
masjid,rekreasi,200500
monumen,pantai,307500
taman,jalan,371000
masjid,,354500
wisata,kota,360000
budaya,laut,78000
museum,,284000
museum,,276500
sejarah,kota,265500
jembatan,laut,450000
taman,,202000
museum,,217000
kota,kebun,224500
budaya,,224000
kebun,,250500
rekreasi,,175500
air,patung,385000
museum,,14000
keluarga,,370500
kota,,395500
kota,,218000
sejarah,,62500
keluarga,jalan,197000
pantai,,99000
kota,,17000
masjid,kapal,420500
rekreasi,taman,69000
kebun,laut,287000
masjid,budaya,201500
budaya,,255500
kebun,,27000
patung,,394000
keluarga,,446000
kapal,,391000
keluarga,,412000
patung,laut,392000
waterpark,,352500
rekreasi,jalan,249000
kebun,monumen,427500
monumen,kebun,322000
masjid,pantai,185500
jembatan,keluarga,319000
jembatan,masjid,132500
air,,163000
keluarga,,340500
kapal,,56000
jalan,keluarga,132000
taman,jembatan,293000
air,,344500
pantai,jembatan,49500
sejarah,jalan,214000
wisata,waterpark,432000
kota,,109000
jalan,patung,16000
waterpark,sejarah,12500
wisata,,212000
budaya,,322000
air,jalan,360000
jalan,,25500
sejarah,,311500
air,kota,156000
patung,waterpark,220000
kota,museum,383500
taman,wisata,123000
taman,wisata,467500
monumen,,363500
masjid,,95500
taman,rekreasi,406500
jembatan,jalan,288500
laut,rekreasi,337000
jalan,taman,270000
rekreasi,monumen,404500
air,,362500
jembatan,museum,327000
pantai,,103500
air,,112000
fasilitas,,310000
laut,,195500
wisata,,339500
jembatan,masjid,252500
kebun,kota,212500
pantai,,430000
pantai,waterpark,277500
kebun,,394500
sejarah,,405000
monumen,,161000
laut,museum,106500
masjid,keluarga,85000
budaya,,196500
taman,kota,363500
kapal,jalan,373000
air,kapal,54500
kota,,274000
air,kapal,163500
sejarah,jalan,264500
laut,,243000
budaya,,167500
kota,,209000
fasilitas,,4500
air,,125500
patung,pantai,183000
masjid,kapal,459500
kapal,air,301500
fasilitas,kapal,67500
fasilitas,wisata,422000
kapal,,105000
waterpark,laut,256000
jembatan,,414000
laut,museum,206000
masjid,fasilitas,201000
kebun,wisata,183500
jalan,,196500
air,,5500
keluarga,air,132500
fasilitas,laut,372500
waterpark,jalan,364000
waterpark,wisata,467000
jalan,,35500
kapal,,210000
kapal,,466000
laut,budaya,65500
laut,,35500
patung,sejarah,156500
pantai,,453500
pantai,,433500
air,pantai,344000
fasilitas,patung,340000
kebun,,145000
wisata,taman,328000
sejarah,laut,237500
museum,,179000
sejarah,jembatan,332000
masjid,waterpark,167000
air,,451000
kebun,,433500
air,,367500
taman,,373000
waterpark,,389000
masjid,,86000
masjid,air,177000
kota,,303500
air,patung,234000
laut,,80500
wisata,kebun,450000
jalan,,200500
kebun,,302000
kota,,16000
kapal,,189000
sejarah,laut,352500
masjid,jembatan,431000
budaya,,20000
fasilitas,taman,29000
wisata,monumen,226000
laut,,390500
patung,,240500
jembatan,budaya,260000
masjid,taman,74500
jembatan,kapal,104500
rekreasi,taman,215500
masjid,laut,362500
rekreasi,,314500
masjid,jembatan,359000
kebun,,6000
jembatan,monumen,218000
laut,,433000
budaya,,444000
waterpark,,353000
kota,waterpark,407500
kapal,kebun,467500
keluarga,,413500
kapal,taman,193000
monumen,,391000
taman,museum,338000
jalan,kapal,458000
wisata,,347000
sejarah,kebun,446500
kota,,223000
museum,,294500
taman,wisata,308500
rekreasi,pantai,343000
waterpark,patung,58500
masjid,jembatan,260500
