preferences_1,preferences_2,budget
jalan,,1560500
air,,348500
jembatan,,1952000
air,kapal,244000
air,,1277500
jalan,laut,2115500
jalan,,2022500
sejarah,taman,844500
budaya,kapal,710000
rekreasi,,2238500
budaya,,2305000
jalan,sejarah,888500
kebun,wisata,1655500
wisata,,384500
pantai,,1064500
sejarah,,31000
air,kota,292500
kota,keluarga,2099000
masjid,,1095500
taman,masjid,1339000
kota,,504000
kapal,,1513500
monumen,jalan,107500
waterpark,,704000
masjid,,2364500
sejarah,,2383500
kapal,museum,2441000
waterpark,,1634500
wisata,,540000
fasilitas,,1503500
jalan,fasilitas,1852000
laut,,468000
taman,waterpark,426000
budaya,,2119500
wisata,jembatan,543000
monumen,kebun,559000
sejarah,,210000
patung,rekreasi,1510000
kebun,,787000
jalan,pantai,1258000
rekreasi,patung,1159500
sejarah,patung,1963500
jalan,taman,873000
air,sejarah,940500
laut,museum,548000
museum,,1467500
kebun,,595500
patung,,1087000
budaya,,1157500
laut,monumen,1523000
waterpark,,192500
fasilitas,monumen,853000
sejarah,,2232000
jalan,laut,533000
budaya,,1950000
museum,,1036500
museum,,979500
pantai,monumen,704500
monumen,jalan,1305500
monumen,,1894500
rekreasi,patung,1477000
patung,kota,1908500
sejarah,kota,1086500
rekreasi,masjid,208500
pantai,rekreasi,832500
keluarga,kapal,1383500
air,,1095000
jembatan,,1242500
sejarah,laut,1447500
kebun,jembatan,1206500
laut,masjid,194000
patung,,810000
taman,laut,564500
pantai,,1790500
sejarah,wisata,885000
patung,waterpark,1472000
fasilitas,,928000
budaya,pantai,1521500
kapal,,2034500
taman,,1577500
waterpark,masjid,1048000
kebun,fasilitas,520500
monumen,,1688500
sejarah,kota,1490500
taman,,762000
kapal,,2413000
monumen,patung,1466000
waterpark,pantai,1896500
museum,,1233000
kota,,794000
taman,,1606500
laut,,610000
laut,,578000
jembatan,,268000
kebun,,1471500
patung,,2324000
jembatan,museum,2258500
keluarga,,2323500
sejarah,,1514000
rekreasi,keluarga,1963000
kebun,keluarga,256000
budaya,,2333500
budaya,rekreasi,1562000
jalan,pantai,43500
taman,kapal,2224500
waterpark,air,1205500
keluarga,jembatan,1491500
budaya,fasilitas,434000
kebun,monumen,349500
sejarah,,1044500
kota,,852000
waterpark,,2311500
kebun,keluarga,2067500
kebun,,162000
keluarga,,1015500
pantai,,816500
museum,wisata,530500
air,,2069500
kota,,1012000
wisata,,2203000
kebun,kapal,1731500
patung,jembatan,2095000
jembatan,museum,1434000
keluarga,,2011000
kota,monumen,1172500
museum,,841500
wisata,jalan,974000
fasilitas,museum,2408000
rekreasi,kebun,975500
taman,,1100500
masjid,,1239000
museum,,125000
rekreasi,air,1637500
kebun,patung,9000
rekreasi,,97500
waterpark,museum,354500
keluarga,,1009500
monumen,wisata,531000
rekreasi,,2395000
waterpark,,539000
fasilitas,,1700000
kebun,masjid,420000
kebun,masjid,1950000
fasilitas,laut,1880000
patung,rekreasi,1050500
sejarah,waterpark,1737000
waterpark,,736000
jembatan,laut,694000
waterpark,,844000
masjid,,1714000
wisata,,1395000
wisata,,1846500
patung,,1899000
masjid,air,687500
waterpark,jembatan,1532000
air,museum,2402500
waterpark,masjid,301500
masjid,jalan,1737000
kebun,,1782000
kapal,keluarga,1453500
patung,masjid,1958000
laut,,766000
pantai,jalan,109500
rekreasi,kota,818500
laut,jembatan,520000
monumen,kapal,854000
jalan,kapal,189500
wisata,monumen,1235500
air,,1543500
laut,,2351500
masjid,,298500
laut,,389000
rekreasi,,1158000
museum,,1291000
kapal,patung,1409000
jembatan,,819500
museum,kapal,697000
keluarga,kebun,701000
sejarah,budaya,1259500
taman,air,1433000
laut,,964000
jalan,kapal,188000
laut,,2382000
kapal,,1630000
jembatan,,1888500
fasilitas,,733000
jalan,wisata,2195500
jembatan,museum,2328500
jalan,museum,327500
kebun,laut,2250500
waterpark,jembatan,1730500
kapal,waterpark,2294000
budaya,jalan,773500
museum,wisata,65500
laut,jalan,1742500
waterpark,,1657000
waterpark,keluarga,131000
